 Cycle     Profits
   191        0.00
   194        0.00
   197        0.00
   200   214670.04
   203   194309.51
   206   486925.84
   209   464711.15
   212   546473.08
   215  1033976.40
   218   698393.62
   621   629757.16
   624   520145.27
   627   468570.12
   630   236418.57
   633   226573.23
   636        0.00
   639   173894.45
   642        0.00
   645    76939.93
   648   124663.15
  1102   129552.19
  1105    70853.51
  1108        0.00
  1111        0.00
  1114   292862.37
  1117   220184.98
  1120   408964.16
  1123   678976.22
  1126   614806.97
  1129   558264.59
  1362   683950.58
  1365   600204.47
  1368   431597.20
  1371   411566.40
  1374   291619.02
  1377   270142.18
  1380        0.00
  1383        0.00
  1386   205485.03
  1389   128843.83
