 Cycle Period    Power(1)    Power(2)    Power(3)    Power(4)    Power(5)    Power(6)    Power(7)    Power(8)    Power(9)    Power(10)
   710     10     3.01853     2.89384     2.89384     2.89384     2.89384     2.89384     2.89384     2.89384     3.01853     3.01853
   710     11     3.24844     3.10613     3.10613     3.10613     3.10613     3.10613     3.10613     3.10613     3.10613     3.24844
   710     12     3.28870     3.43849     0.00000     3.28870     3.28870     3.28870     3.39938     3.28870     3.28870     3.28870
   710     13     3.28718     3.28718     3.28718     0.00000     3.28718     3.28718     3.28718     3.28718     3.28718     3.28718
   711      6     0.79053     0.79053     0.46550     0.79053     0.79053     0.79053     0.79053     0.46550     0.70807     0.79053
   711      7     1.12370     0.70807     0.70807     0.64612     0.70807     1.12370     0.70807     1.12370     0.64612     1.43272
   711      8     1.16369     1.16369     1.16369     1.16369     1.12028     1.12028     1.16369     1.16369     1.12028     1.12028
   711      9     2.82805     2.82805     2.82805     1.87653     2.24056     2.54435     2.24056     2.70074     2.82805     2.82805
   711     10     3.27657     3.27657     3.27657     3.27657     3.14415     3.27657     3.27657     3.27657     3.27657     3.27657
   711     11     3.60256     3.60256     3.60256     3.34362     3.34362     3.60256     3.54435     3.34362     3.63657     0.00000
   711     12     3.55624     3.58664     1.90587     3.85835     1.90587     3.79950     3.58664     3.79950     3.58664     1.90587
   712      6     1.07812     0.85920     0.85920     0.85920     0.85920     0.85920     0.85920     0.85920     0.85920     0.85920
   712      7     1.66994     1.52213     1.66994     1.52213     1.66994     1.75014     1.06210     1.66994     1.52213     1.52213
   712      8     2.51674     2.51674     2.39908     1.85406     2.39908     2.39908     2.39908     2.39908     2.39908     2.51674
   712      9     3.12985     3.12985     3.12985     2.98079     3.12985     2.98079     3.12985     2.98079     2.98079     3.12985
   712     10     3.38525     3.74001     3.62412     3.62412     3.74001     3.38525     3.38525     3.38525     3.62412     3.38525
   712     11     3.78594     4.22912     3.78594     1.93863     1.93863     1.93863     1.93863     4.17413     1.93863     1.93863
   712     12     2.60954     4.00062     4.00062     2.60954     4.00062     2.60954     3.97721     4.00062     2.60954     2.60954
   713      6     0.93273     0.93273     0.93273     0.93273     0.93273     0.93273     0.93273     1.18840     0.93273     0.93273
   713      7     0.00000     1.95508     1.68446     1.68446     1.95508     0.00000     1.68446     0.00000     0.00000     1.51817
   713      8     2.79634     2.79634     2.24056     2.79634     2.79634     2.79634     2.79634     2.79634     2.79634     2.79634
   713      9     3.46637     3.46637     3.46637     3.46637     3.46637     3.46637     3.46637     3.46637     3.46637     3.46637
   713     10     0.00000     3.77311     0.00000     0.00000     3.77311     4.29375     3.77311     4.29375     3.77311     3.77311
   713     11     2.65521     3.15653     4.21611     3.53884     4.74041     3.15653     3.15653     3.15653     3.15653     3.53884
   713     12     3.80318     3.80318     3.78905     3.80318     3.80318     3.80318     3.80318     3.80318     3.80318     3.80318
   713     13     3.86130     3.86130     3.86130     3.86130     2.92133     3.86130     2.65521     3.86130     3.86130     3.86130
   714      5     0.35403     0.37591     0.37591     0.37591     0.35403     0.37591     0.35403     0.37591     0.37591     0.37591
   714      6     1.30617     1.30617     1.01124     1.30617     1.30617     1.01124     1.30617     1.01124     1.30617     1.01124
   714      7     2.16007     2.16007     2.16007     2.03208     2.16007     1.12002     1.12002     1.84684     2.03208     1.12002
   714      8     3.06005     3.06005     3.06005     2.70350     2.89844     2.24056     2.89844     2.24056     2.63278     2.24056
   714      9     3.78249     3.78249     3.78249     3.78249     3.78249     3.78249     3.57830     3.78249     3.78249     3.78249
   714     10     3.85665     1.99161     1.99161     1.99161     4.15870     1.99161     1.34444     1.99161     1.99161     1.34444
   714     11     3.83764     3.83764     3.83764     3.83764     3.83764     3.83764     3.83764     5.02112     3.83764     3.83764
   714     12     3.99965     4.06637     4.47276     3.99965     4.47276     4.79450     3.99965     4.79450     4.79450     3.99965
   715      6     1.06562     1.06210     0.00000     1.06562     1.06562     1.06562     1.06562     1.38775     1.06562     1.06562
   715      7     1.17541     1.12028     1.12028     1.17541     1.17541     1.12028     1.12028     1.12028     1.17541     1.17541
   715      8     3.26251     3.26251     3.26251     3.26251     3.26251     3.26251     3.26251     3.26251     3.26251     3.26251
   715      9     3.52093     4.03365     3.52093     4.03365     3.52093     4.03365     3.52093     3.52093     4.03365     3.52093
   715     10     3.20535     3.61628     3.20535     3.20535     3.20535     3.20535     3.20535     3.20535     3.20535     3.20535
   715     11     4.82563     4.82563     3.99965     4.82563     4.82563     3.98322     3.99965     4.82563     3.99965     3.99965
   715     12     3.99965     5.08914     3.99965     5.08914     5.08914     4.64682     5.08914     5.09410     3.99965     4.64682
   716      5     0.72646     0.72646     0.70807     0.72646     0.72646     0.72646     0.72646     0.72646     0.72646     0.70807
   716      6     1.14376     1.50495     0.70807     1.06210     1.06210     1.06210     1.06210     1.06210     1.50495     1.50495
   716      7     1.06210     2.67306     2.67306     2.13813     2.67306     2.67306     2.67306     2.67306     2.67306     2.67306
   716      8     3.56661     3.36084     3.56661     3.56661     3.56661     3.56661     3.56661     3.56661     3.56661     3.56661
   716      9     4.50567     4.50567     4.80463     4.80463     4.50567     4.80463     4.50567     4.50567     4.50567     4.50567
   716     10     3.96890     3.96312     2.68888     3.96890     3.96160     3.96312     3.96160     3.96312     3.96160     3.96312
   716     11     3.99965     6.35369     5.29328     5.29328     6.35369     5.63164     5.29328     5.29506     6.35369     5.63164
   716     12     6.63759     5.93349     5.93443     6.21820     6.63759     6.63759     6.63759     5.93443     6.63759     6.21820
   717      6     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210
   717      7     2.93456     2.93456     2.93456     2.93456     2.93456     2.76573     2.56714     2.76573     1.87653     2.76573
   717      8     3.90323     3.90323     3.90323     3.90323     3.90323     3.90323     3.90323     3.90323     3.90323     3.90323
   717      9     3.21069     5.36881     3.21069     3.21069     5.36881     3.21069     3.21069     3.21069     3.21069     3.64091
   717     10     6.36777     6.36777     5.90682     5.21604     6.36777     5.57915     5.21604     5.56959     6.36777     6.36777
   717     11     7.05469     6.53804     7.05469     7.05469     6.82075     7.05469     7.05469     7.05469     5.97484     6.53804
   717     12     7.15327     7.15327     7.38148     7.15327     7.15327     7.38148     7.15327     7.15327     7.38148     7.38148
   718      5     0.83046     1.07714     0.83046     1.06210     0.83046     0.70807     0.70807     0.83046     0.83046     0.83046
   718      6     1.67510     1.87334     2.09528     0.00000     1.99201     1.87334     2.09528     1.87334     1.99201     1.99201
   718      7     2.94471     3.13128     2.72319     2.94471     3.13128     2.94471     2.63278     3.13128     3.13128     3.13128
   718      8     4.46973     4.46973     4.46973     4.46973     4.46973     4.46973     4.46973     4.46973     4.46973     4.37639
   718      9     3.86406     3.86406     3.86406     2.68888     3.86406     3.86406     2.68888     3.87338     2.68888     3.86406
   718     10     6.77649     6.77649     6.77649     6.77649     6.77649     5.90273     6.77649     6.77649     6.77649     6.77649
   718     11     7.21242     7.47285     7.47285     7.47285     7.47285     7.21242     7.47285     7.47285     7.47285     7.47285
   718     12     7.79192     7.79192     7.79192     7.79192     7.79192     7.79192     7.79192     7.79192     7.79192     7.79192
  1057      5     0.35403     0.35403     0.35403     0.35403     0.35403     0.35403     0.35403     0.35403     0.35403     0.00000
  1057      6     1.03102     1.03102     1.03102     0.00000     1.03102     0.00000     1.03102     1.03102     0.00000     0.00000
  1057      7     1.14220     1.12028     1.12028     1.12028     1.12028     1.12028     1.14220     1.14220     1.14220     1.14220
  1057      8     2.98087     3.14973     3.14973     2.24056     2.24056     3.14973     3.14973     2.24056     2.98087     2.24056
  1057      9     4.05425     4.11206     4.05425     4.11206     3.91232     4.11206     4.05425     4.11206     4.11206     4.11206
  1057     10     2.18699     2.18699     1.99161     1.99161     1.99161     2.18699     1.34444     1.34444     1.34444     1.99161
  1057     11     3.97112     2.65521     3.97664     3.97112     3.97112     2.65521     2.65521     3.97188     3.97112     2.65521
  1057     12     5.00458     5.00303     5.00303     5.00458     4.65764     5.00458     4.65764     5.00458     4.65764     5.00458
  1057     13     5.04860     3.99965     5.04956     5.04860     5.04860     5.04597     5.04860     5.04860     5.04956     5.04860
  1058      5     0.40188     0.40188     0.40188     0.40188     0.40188     0.40188     0.40188     0.40188     0.35403     0.40188
  1058      6     1.09056     1.42516     1.09056     1.42516     1.06210     1.09056     1.09056     1.09056     1.09056     1.42516
  1058      7     2.02129     2.38031     1.79764     2.04326     1.06210     2.51094     1.06210     2.38031     2.38031     1.06210
  1058      8     3.35864     3.35864     3.35864     3.35864     3.35864     3.35864     3.35864     3.35864     3.35864     3.35864
  1058      9     4.15814     3.61845     3.91326     4.15814     3.61845     4.15814     4.15814     4.15814     4.15814     4.15814
  1058     10     3.30017     3.73412     3.30017     3.30017     3.30017     3.30017     3.73412     3.30017     3.30017     3.30017
  1058     11     4.99143     4.62163     4.99159     3.99965     4.99143     3.99965     4.99159     4.99159     4.99159     4.99159
  1058     12     6.21364     5.27459     6.21364     6.21364     6.21364     6.21364     6.21364     6.21364     5.27459     6.21364
  1059      6     0.00000     0.70807     1.49547     0.70807     0.00000     1.06210     1.06210     0.00000     1.49547     0.00000
  1059      7     2.12144     2.12144     2.64991     2.64991     2.64991     2.64991     2.64991     2.64991     2.64991     2.64991
  1059      8     3.53054     3.32795     3.53054     3.36084     3.53054     3.53054     3.53054     3.53054     3.53054     3.53054
  1059      9     4.44351     1.92275     4.44351     4.44351     4.44351     4.44351     4.73208     4.44351     4.44351     1.92275
  1059     10     3.90422     3.90422     3.90422     2.68888     3.90422     3.90422     2.68888     3.90422     2.68888     3.90422
  1059     11     5.20215     5.52973     5.20215     5.20335     5.20215     5.20215     5.20215     5.20215     5.20215     5.20215
  1059     12     5.31042     6.48438     6.48438     6.08858     6.48438     6.08409     6.48438     5.31042     6.08858     5.31042
  1060      6     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210
  1060      7     2.91827     2.91827     2.91827     2.91827     2.91827     2.42584     2.55405     2.91827     2.91827     2.91827
  1060      8     3.87353     3.87353     3.87353     3.87353     3.87353     3.87353     3.87353     3.87353     3.87353     3.36084
  1060      9     1.34444     5.30459     1.34444     1.34444     1.34444     5.30459     1.34444     1.34444     1.34444     1.34444
  1060     10     3.99965     5.16008     5.15090     5.15090     5.15090     5.15319     5.15090     5.15090     5.15090     5.15090
  1060     11     6.70965     6.43602     6.43602     6.43602     5.31042     6.93608     6.93608     6.93608     6.93608     6.70965
  1060     12     6.65486     6.63843     6.65486     6.63843     7.01271     6.63843     6.65486     7.01271     6.63843     6.63843
  1061      5     0.83747     0.47492     0.83747     0.83747     0.70807     1.06210     0.83747     0.83747     0.83747     1.08766
  1061      6     2.01977     0.00000     2.01977     1.69708     0.00000     0.00000     0.00000     2.12612     1.69708     2.01977
  1061      7     3.17993     3.17993     2.98899     3.17993     3.17993     2.98899     3.17993     3.17993     3.17993     2.98899
  1061      8     4.57218     4.57218     4.57218     4.57218     4.57218     4.57218     4.57218     4.57218     4.57218     4.57218
  1061      9     3.94416     3.94722     3.94722     2.68888     2.68888     2.68888     2.68888     3.94722     2.87445     3.94416
  1061     10     6.95035     6.95035     6.95035     6.95035     6.95035     6.95035     6.95035     6.40009     6.95035     6.95035
  1061     11     7.68303     7.68303     7.68303     7.68303     7.68303     7.68303     7.68303     7.68303     7.68303     7.68303
  1061     12     8.05422     7.96563     7.96563     8.05422     7.96563     7.96563     8.05422     8.05422     8.05422     8.05422
  1062      5     1.15436     1.15436     1.15436     1.15436     1.15436     1.15436     1.15436     1.15436     1.15436     1.15436
  1062      6     0.75625     0.75766     0.75625     0.75625     0.75625     0.75766     0.75625     0.75766     0.75766     0.75625
  1062      7     3.36084     3.36489     3.36489     3.36489     3.36489     3.36084     3.36084     3.36489     3.36489     3.36084
  1062      8     4.89084     4.89084     4.89084     4.89084     4.89084     4.89084     4.89084     4.89084     4.89084     4.89084
  1062      9     4.62956     4.62956     5.39065     5.03862     5.03862     5.03862     5.03862     5.39065     4.62956     4.62956
  1062     10     7.32538     7.32538     7.04782     7.32538     7.04782     7.32538     7.04782     7.32538     7.04782     7.32538
  1062     11     8.08621     8.08621     8.08621     8.08621     8.08621     7.96563     7.96563     8.08621     8.08621     8.08621
  1062     12     8.51470     7.96563     8.51470     8.51470     8.51470     8.51470     8.51470     8.51470     8.51470     8.51470
  1063      5     0.00000     0.92081     0.00000     0.92081     0.51659     0.92081     0.92081     0.92081     1.21266     1.06210
  1063      6     1.11393     1.11393     1.11393     1.11393     1.11393     1.11393     1.11393     1.11393     1.11393     2.39943
  1063      7     3.52155     3.52155     3.52155     3.52155     3.52155     3.52155     3.52155     3.52155     3.52155     3.52155
  1063      8     5.15676     5.15676     5.15676     5.15676     5.15676     5.15676     5.15676     5.15676     5.15676     5.15676
  1063      9     6.53513     5.24962     5.24962     6.53513     5.63907     5.25334     6.53513     6.53513     5.24962     5.62846
  1063     10     7.62932     7.62932     7.62932     7.62932     7.62932     7.62932     7.62932     7.62932     7.62932     7.62932
  1063     11     8.46167     8.46167     8.46167     8.46167     8.46167     8.46167     8.46167     8.46167     8.46167     8.46167
  1063     12     8.86587     8.86587     8.86587     8.86587     8.86587     8.86587     8.86587     8.86587     8.86587     8.86587
  1064      5     1.28048     1.28048     0.00000     1.28048     1.28048     0.00000     1.28048     0.96602     1.28048     1.28048
  1064      6     2.55921     2.55921     2.00585     2.55921     2.55921     2.55921     1.06210     2.55921     2.40957     1.06210
  1064      7     3.73688     3.73688     3.73688     3.73688     3.73688     3.73688     3.73688     3.73688     3.73688     3.73688
  1064      8     1.34444     5.55366     2.65482     5.55366     2.65482     5.55366     5.55366     5.55366     1.34444     1.34444
  1064      9     5.97484     5.97484     6.03662     5.97484     5.97484     5.97484     5.97484     5.97484     5.97484     5.97484
  1064     10     8.22790     8.22790     8.22790     8.22790     8.22790     7.96563     8.22790     8.22790     8.22790     8.19521
  1064     11     9.21875     9.21875     9.21875     9.21875     9.21875     9.21875     9.21875     9.21875     9.21875     9.21875
  1064     12     9.67905     9.67905     9.67905     9.67905     9.67905     9.67905     9.67905     9.67905     9.67905     9.67905
  1065      5     1.36859     1.02476     1.36859     1.02476     1.36859     1.36859     0.00000     1.36859     1.36859     1.36859
  1065      6     2.75588     2.75588     2.75588     2.75588     2.75588     2.75588     2.75588     2.75588     2.75588     2.75588
  1065      7     3.99100     3.99100     3.99100     3.99100     3.99100     3.99100     3.99100     3.99100     3.99100     3.99100
  1065      8     2.68888     3.89579     2.68888     3.89579     3.89579     3.89579     3.90333     3.89579     2.68888     2.68888
  1065      9     7.53896     7.53896     7.53896     7.53896     7.53896     7.53896     7.53896     7.53896     7.21744     7.53896
  1065     10     8.96548     8.96548     8.96548     8.96548     8.96548     8.96548     8.96548     8.96548     8.96548     8.96548
  1065     11    10.02264    10.02264    10.02264    10.02264    10.02264    10.02264    10.02264    10.02264    10.02264    10.02264
  1065     12    10.53014    10.53014    10.53014    10.53014    10.53014    10.53014    10.53014    10.53014    10.53014    10.53014
  1066      5     1.41110     1.05310     1.41110     1.05310     1.06210     1.41110     1.41110     1.41110     1.41110     1.41110
  1066      6     2.85425     2.21620     2.85425     2.67513     2.85425     2.85425     2.85425     2.85425     2.85425     2.85425
  1066      7     4.11884     4.11884     4.11884     4.11884     4.11884     4.11884     4.11884     4.11884     4.11884     4.11884
  1066      8     4.93722     4.52334     4.93722     4.52334     5.29924     4.52334     4.93722     4.52334     5.29924     5.29924
  1066      9     7.79314     7.79314     7.79314     7.79314     7.79314     7.79314     7.79314     7.79314     7.79314     7.79314
  1066     10     9.30566     9.30566     9.30566     9.30566     9.30566     9.30566     9.30566     9.30566     9.30566     9.30566
  1066     11    10.37265    10.37265    10.37265    10.37265    10.37265    10.37265    10.37265    10.37265    10.37265    10.37265
  1066     12    10.87448    10.87448    10.87448    10.87448    10.87448    10.87448    10.87448    10.87448    10.87448    10.87448
  1067      5     1.45635     1.45635     1.08327     0.35403     1.45635     1.45635     1.45635     1.08327     0.59782     1.45635
  1067      6     2.76262     2.95146     2.24056     2.95146     2.95146     2.95146     2.95146     2.24056     2.95146     2.95146
  1067      7     4.23902     4.23902     4.23902     4.23902     4.23902     4.23902     4.23902     4.23902     4.23902     4.23902
  1067      8     5.46446     5.46446     5.08271     4.64627     5.46446     5.46446     5.08271     5.08271     4.14248     5.08271
  1067      9     7.96563     7.96563     8.01400     7.96563     7.96563     8.01400     7.96563     7.96563     7.96563     8.01400
  1067     10     9.59360     9.59360     9.59360     9.59360     9.59360     9.59360     9.59360     9.59360     9.59360     9.59360
  1067     11    10.65774    10.65774    10.65774    10.65774    10.65774    10.65774    10.65774    10.65774    10.65774    10.65774
  1067     12    11.14140    11.14140    11.14140    11.14140    11.14140    11.14140    11.14140    11.14140    11.14140    11.14140
  1068      5     1.50227     1.06210     1.50227     1.06210     1.06210     1.50227     0.00000     1.50227     1.50227     1.50227
  1068      6     3.06097     3.06097     2.26874     3.06097     3.06097     3.06097     2.86118     3.06097     3.06097     3.06097
  1068      7     4.85444     4.85444     4.85444     4.85444     4.85444     4.85444     4.85444     4.85444     4.85444     4.85444
  1068      8     6.70968     6.70968     6.70968     6.70968     6.70968     5.27441     6.70968     5.27441     6.70968     6.70968
  1068      9     8.33574     7.96563     7.96563     8.33574     8.33574     8.33574     7.96563     8.33574     8.33574     8.33574
  1068     10    10.07128    10.07128    10.07128    10.07128    10.07128    10.07128    10.07128    10.07128    10.07128    10.07128
  1068     11    11.19067    11.19067    11.19067    11.19067    11.19067    11.19067    11.19067    11.19067    11.19067    11.19067
  1068     12    11.71644    11.71644    11.71644    11.71644    11.71644    11.71644    11.71644    11.71644    11.71644    11.71644
  1069      4     0.35484     0.35403     0.35403     0.35403     0.35403     0.35484     0.35403     0.35403     0.35403     0.35403
  1069      5     1.54639     1.54639     1.06210     1.06210     1.54639     1.06210     1.06210     1.06210     1.06210     1.54639
  1069      6     3.16574     3.16574     2.95548     2.26874     3.16574     3.16574     3.16574     2.71089     2.95548     2.95548
  1069      7     5.06241     5.06241     5.06241     5.06241     5.06241     5.06241     5.06241     5.06241     5.06241     5.06241
  1069      8     6.96948     6.96948     6.96948     6.96948     6.96948     6.96948     6.96948     5.90283     6.96948     6.96948
  1069      9     8.82536     8.82536     8.82536     8.82536     8.82536     8.82536     8.82536     8.77039     8.82536     8.82536
  1069     10    10.51515    10.51515    10.51515    10.51515    10.51515    10.51515    10.51515    10.51515    10.51515    10.51515
  1069     11    11.68384    11.68384    11.68384    11.68384    11.68384    11.68384    11.68384    11.68384    11.68384    11.68384
  1069     12    12.24794    12.24794    12.24794    12.24794    12.24794    12.24794    12.24794    12.24794    12.24794    12.24794
  1070      5     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210
  1070      6     3.21887     3.21887     3.21887     3.21887     3.21887     3.21887     3.21887     3.21887     3.21887     3.21887
  1070      7     5.16269     5.16269     5.16269     5.16269     5.16269     5.16269     5.16269     5.16269     5.16269     5.16269
  1070      8     7.08959     7.08959     7.08959     7.08959     7.08959     7.08959     7.08959     7.08959     7.08959     7.08959
  1070      9     8.99238     8.99238     8.99238     8.99238     8.99238     8.99238     8.99238     8.99238     7.96563     8.99238
  1070     10    10.69314    10.69314    10.69314    10.69314    10.69314    10.69314    10.69314    10.69314    10.69314    10.69314
  1070     11    11.86424    11.86424    11.86424    11.86424    11.86424    11.86424    11.86424    11.86424    11.86424    11.86424
  1070     12    12.42226    12.42226    12.42226    12.42226    12.42226    12.42226    12.42226    12.42226    12.42226    12.42226
