 Cycle Period    Power(1)    Power(2)    Power(3)    Power(4)    Power(5)    Power(6)    Power(7)    Power(8)    Power(9)    Power(10)
     8     10     3.24183     3.36084     3.37634     3.37634     3.37634     3.36084     3.37634     3.37634     3.24183     3.37634
     8     11     0.00000     3.82092     0.00000     3.72386     0.00000     3.75657     3.49550     0.00000     3.49550     3.49550
     8     12     1.95027     1.95027     3.91686     3.91686     3.91686     3.68349     3.68349     1.95027     1.95027     1.95027
     8     13     2.48515     2.48515     2.48515     2.48515     2.48515     3.68017     2.48515     2.48515     2.48515     2.48515
     9      6     0.70807     0.46251     0.78457     0.78457     0.78457     0.78457     0.78457     0.78457     0.46251     0.46251
     9      7     1.10839     0.63847     1.10839     1.10839     1.10839     1.10839     1.06210     1.10839     0.00000     1.10839
     9      8     1.12028     1.12028     1.14360     1.12028     1.12028     1.99797     1.14360     1.12028     1.12028     1.12028
     9      9     2.24056     2.74552     2.74552     2.74552     2.24056     2.74552     2.74552     2.74552     2.47509     2.74552
     9     10     3.04078     3.17269     3.17269     3.17269     3.17269     3.17269     3.17269     3.17269     3.17269     3.17269
     9     11     3.26985     3.26985     3.26985     3.26985     3.26985     3.26985     3.26985     3.26985     3.26985     3.26985
     9     12     0.00000     3.45431     3.45431     3.64940     3.45431     3.45431     3.45431     3.45431     3.45431     0.00000
     9     13     1.90465     1.90465     3.45879     3.61143     3.45879     3.45879     3.45879     3.45879     1.90465     3.45879
    10      6     0.71561     0.71561     0.71561     0.42803     0.42803     0.42803     0.42803     0.71561     0.71561     0.71561
    10      7     1.01186     1.01186     0.70807     1.01186     1.01186     0.70807     1.01186     1.01186     1.26497     1.01186
    10      8     1.64704     1.49657     1.64704     0.00000     0.00000     1.86164     1.86164     1.49657     1.77701     1.49657
    10      9     1.84817     2.32665     2.05009     2.20597     2.42490     2.42490     1.06210     1.06210     2.20597     1.84817
    10     10     2.80649     2.69532     2.80649     2.80649     2.69532     2.55598     2.80649     2.55598     0.70807     2.24056
    10     11     3.05249     2.94147     2.94147     2.94147     2.94147     2.94147     2.94147     2.80550     2.80550     2.80550
    10     12     2.98330     2.98330     2.98330     2.98330     2.98330     2.98330     2.98330     2.98330     2.98330     2.98330
    11      6     0.35403     0.38973     0.38973     0.38973     0.38973     0.35403     0.38973     0.38973     0.35403     0.38973
    11      7     0.91130     0.91130     0.00000     0.91130     0.91130     0.00000     0.91130     0.91130     0.91130     0.91130
    11      8     1.45392     1.45392     1.45392     1.45392     1.45392     1.45392     1.45392     1.45392     1.45392     1.45392
    11      9     1.82850     1.12028     1.16204     1.12028     1.95292     1.95292     1.16204     1.12028     1.16204     1.12028
    11     10     2.13053     2.13053     2.13053     2.47673     1.06210     2.13053     2.47673     1.06210     2.13053     2.47673
    11     11     2.49490     2.49490     2.70341     2.49490     2.70341     2.70341     2.70341     2.70341     2.70341     2.49490
    11     12     2.24056     2.24056     0.70807     2.24056     2.24056     2.24056     2.24056     2.24056     2.24056     2.78963
    12      6     0.37445     0.35403     0.37445     0.37445     0.37445     0.37445     0.37445     0.37445     0.37445     0.37445
    12      7     0.87044     0.87044     0.87044     0.87044     0.87044     0.87044     0.87044     0.87044     0.87044     0.87044
    12      8     1.56036     0.00000     0.70807     0.00000     0.70807     1.37563     1.51982     1.37563     1.26858     1.37563
    12      9     2.00599     1.11977     1.11977     1.58660     1.11977     1.11977     1.85436     1.11977     1.11977     1.11977
    12     10     1.06210     2.04039     2.35519     0.70807     2.03624     1.06210     2.27278     1.06210     2.35519     2.04039
    12     11     1.87653     2.39128     1.51250     2.24056     2.24056     2.24056     2.39128     2.24056     1.51250     2.24056
    12     12     2.50101     2.60252     2.60252     2.50101     0.70807     1.87653     2.24056     2.24056     2.68054     2.68054
    12     13     2.48755     2.48755     2.57306     2.48755     2.24056     1.87653     2.24056     2.24056     2.63763     2.24056
    13      6     0.35985     0.35403     0.35403     0.35985     0.35403     0.35985     0.35403     0.35403     0.35985     0.35985
    13      7     0.83127     0.83127     0.83127     0.83127     0.83127     0.83127     0.49991     0.83127     0.83127     0.83127
    13      8     1.33902     1.08932     1.33902     1.33902     1.08932     1.33902     0.00000     1.08932     1.08932     1.08932
    13      9     1.07201     1.07201     1.65647     1.07201     1.07201     1.51378     1.51378     1.07201     1.51378     1.07201
    13     10     1.77348     1.94830     1.94830     1.77348     1.77348     1.77348     1.77348     1.77348     1.94830     1.94830
    13     11     2.45901     2.15756     2.15756     2.45901     2.15756     2.15756     2.45901     2.15756     2.15756     2.45901
    13     12     2.24056     2.55964     2.24056     2.24056     2.55964     2.24056     2.55964     2.24056     2.55964     2.55964
    13     13     2.24056     2.10922     2.24056     2.24056     2.38809     2.52770     2.10922     1.06210     2.24056     1.87653
    14      7     0.77182     0.77182     0.77182     0.77182     0.77182     0.77182     0.77182     0.77182     0.77182     0.77182
    14      8     1.01287     1.22434     1.01287     1.22434     1.01287     1.01287     1.01287     1.01287     1.01287     1.01287
    14      9     1.51496     1.51496     0.00000     1.69684     1.51496     1.51496     1.51496     1.51496     1.51496     1.51496
    14     10     1.16625     1.16625     1.16625     2.01293     1.12028     1.87638     1.78656     1.12028     1.43842     1.16625
    14     11     1.97903     1.81163     1.97903     1.59027     1.81163     1.97903     1.97903     1.81163     1.97903     1.97903
    14     12     1.87653     2.30609     2.08053     2.30609     2.16810     2.08053     2.08053     2.24612     2.08053     2.30609
    14     13     1.51250     2.26550     2.21618     2.08529     1.40149     1.06210     1.06210     2.08529     2.08529     2.08529
   353      6     0.41377     0.41377     0.41377     0.41377     0.41377     0.41377     0.35403     0.35403     0.35403     0.41377
   353      7     1.20924     0.97471     0.97471     1.20924     1.20924     1.20924     0.97471     0.97471     0.97471     1.20924
   353      8     1.69627     1.69627     1.57551     1.77134     1.83376     1.57551     0.00000     0.00000     0.00000     1.43651
   353      9     1.77756     1.96698     1.96698     1.96698     1.96698     1.96698     1.77756     1.77756     1.96698     1.96698
   353     10     2.68000     2.68000     2.68000     2.68000     2.68000     2.68000     2.24056     2.68000     2.68000     2.68000
   353     11     2.70975     2.81086     2.81086     2.91417     2.81086     2.81086     2.81086     2.91417     2.81086     2.81086
   353     12     2.24056     2.63278     2.63278     2.63278     2.24056     2.90676     2.79275     2.79275     2.24056     2.24056
   354      6     0.39421     0.39421     0.39421     0.39421     0.39421     0.39421     0.35403     0.35403     0.39421     0.39421
   354      7     0.92499     0.92499     0.92499     0.92499     0.92499     0.92499     0.92499     0.92499     0.92499     0.92499
   354      8     1.70919     1.59390     1.59390     1.65685     1.70919     1.70919     1.65685     1.65685     1.70919     1.59390
   354      9     2.09945     2.09945     1.06210     2.18004     1.06210     2.09945     2.00045     2.18004     2.18004     2.09945
   354     10     2.45429     2.54905     2.45429     2.45429     2.54905     2.54905     2.54905     1.51250     2.54905     2.54905
   354     11     2.69572     2.57243     2.69572     2.69572     2.69572     2.69572     2.57243     2.57243     2.57243     2.69572
   354     12     2.63278     2.69448     2.80652     2.80652     2.89487     2.80652     2.69448     2.80652     2.80652     2.80652
   354     13     2.69273     2.63278     2.63278     2.70216     2.63278     2.85176     2.69273     2.67116     2.24056     2.70470
   355      6     0.37695     0.37695     0.35403     0.37695     0.35403     0.37695     0.35403     0.37695     0.37695     0.35403
   355      7     0.87991     0.87991     0.87991     0.87991     0.87991     0.87991     0.87991     0.87991     0.87991     0.87991
   355      8     0.70807     1.39882     1.28799     1.54980     1.39882     1.28799     1.28799     1.39882     1.28799     1.39882
   355      9     1.12028     1.13635     1.12028     1.98059     1.98059     1.13635     1.13635     1.13635     1.12028     1.77597
   355     10     2.41615     2.32985     2.22170     2.32985     2.32985     2.08560     2.41615     2.32985     2.08560     2.08560
