--------------------------------------------------------------------------------------------------------------------
Turbine Test for Reduced number of cycles
Scenarios: 10
Turbines: 3
Time Limit: 172800
Max Gap: 0.05
-------------------------------------
Status: Unfinished
Profit = 119727
Gap: 72.2424 %
-------------------------------------
 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)
    11     11     2.49490     1.24745     0.00000     2.49490     0.12605     1.12140     2.70341     0.00000     1.35171     2.49490     0.15859     1.08885     2.70341     0.00000     1.35171     2.70341     1.34301     0.00869     2.70341     0.00000     1.35171     2.70341     1.32255     0.02916     2.70341     1.35171     0.00000     2.49490     0.00178     1.24567
    11     12     2.24056     1.12028     0.00000     2.24056     0.11320     1.00708     0.70807     0.00000     0.35403     2.24056     0.14243     0.97785     2.24056     0.00000     1.12028     2.24056     1.05356     0.06673     2.24056     0.00000     1.12028     2.24056     1.12028     0.00000     2.24056     1.02521     0.09507     2.78963     0.00159     1.39322
    12      6     0.37445     0.16331     0.02391     0.35403     0.00000     0.17702     0.37445     0.00000     0.18723     0.37445     0.00000     0.18723     0.37445     0.18723     0.00000     0.37445     0.00000     0.18723     0.37445     0.00000     0.18723     0.37445     0.02498     0.16225     0.37445     0.00000     0.18723     0.37445     0.00000     0.18723
    12      7     0.87044     0.43522     0.00000     0.87044     0.00228     0.43294     0.87044     0.43522     0.00000     0.87044     0.39421     0.04102     0.87044     0.43522     0.00000     0.87044     0.21191     0.22331     0.87044     0.43522     0.00000     0.87044     0.43522    -0.00000     0.87044     0.43522    -0.00000     0.87044     0.43522    -0.00000
    12      8     1.56036     0.34035     0.43983     0.00000     0.00000     0.00000     0.70807     0.35403    -0.00000     0.00000     0.00000     0.00000     0.70807     0.35403     0.00000     1.37563     0.21117     0.47665     1.51982     0.00134     0.75857     1.37563     0.36501     0.32281     1.26858     0.00000     0.63429     1.37563     0.32278     0.36503
    12      9     2.00599     0.55988     0.44311     1.11977     0.55988     0.00000     1.11977     0.54211     0.01777     1.58660     0.00814     0.78516     1.11977     0.55988     0.00000     1.11977     0.32335     0.23653     1.85436     0.00205     0.92513     1.11977     0.55988     0.00000     1.11977     0.15889     0.40099     1.11977     0.49426     0.06563
    12     10     1.06210     0.53105    -0.00000     2.04039     0.00116     1.01903     2.35519     0.45205     0.72554     0.70807     0.35403    -0.00000     2.03624     0.29032     0.72780     1.06210     0.16746     0.36359     2.27278     0.02824     1.10815     1.06210     0.02592     0.50513     2.35519     0.06512     1.11247     2.04039     0.01098     1.00922
    12     11     1.87653     0.93826     0.00000     2.39128     0.00195     1.19369     1.51250     0.75625     0.00000     2.24056     0.59227     0.52801     2.24056     0.48569     0.63459     2.24056     0.28015     0.84013     2.39128     0.04989     1.14575     2.24056     0.04580     1.07448     1.51250     0.10895     0.64730     2.24056     0.01837     1.10192
    12     12     2.50101     1.25050     0.00000     2.60252     0.00061     1.30065     2.60252     0.59618     0.70508     2.50101     0.10694     1.14356     0.70807     0.35403     0.00000     1.87653     0.44802     0.49025     2.24056     0.37773     0.74255     2.24056     0.37380     0.74648     2.68054     0.53713     0.80314     2.68054     0.47461     0.86566
    12     13     2.48755     0.00000     1.24378     2.48755     0.00129     1.24249     2.57306     1.24856     0.03796     2.48755     0.22396     1.01981     2.24056     0.74144     0.37884     1.87653     0.93826     0.00000     2.24056     0.00000     1.12028     2.24056     0.78284     0.33744     2.63763     1.12489     0.19393     2.24056     0.00000     1.12028
    13      6     0.35985     0.17992     0.00000     0.35403     0.17702     0.00000     0.35403     0.17659     0.00043     0.35985     0.17697     0.00296     0.35403     0.17641     0.00061     0.35985     0.17641     0.00352     0.35403     0.17702     0.00000     0.35403     0.17702     0.00000     0.35985     0.17701     0.00291     0.35985     0.17698     0.00295
    13      7     0.83127     0.41563     0.00000     0.83127     0.00000     0.41563     0.83127     0.00000     0.41563     0.83127     0.00000     0.41563     0.83127     0.00000     0.41563     0.83127     0.00000     0.41563     0.49991     0.07196     0.17799     0.83127     0.00000     0.41563     0.83127     0.00000     0.41563     0.83127     0.00000     0.41563
    13      8     1.33902     0.00000     0.66951     1.08932     0.00000     0.54466     1.33902     0.00000     0.66951     1.33902     0.00000     0.66951     1.08932     0.00000     0.54466     1.33902     0.00000     0.66951     0.00000     0.00000     0.00000     1.08932     0.00000     0.54466     1.08932     0.00000     0.54466     1.08932     0.00000     0.54466
    13      9     1.07201     0.00000     0.53601     1.07201     0.00000     0.53601     1.65647     0.00000     0.82824     1.07201     0.00000     0.53601     1.07201     0.00000     0.53601     1.51378     0.00000     0.75689     1.51378     0.00000     0.75689     1.07201     0.00000     0.53601     1.51378     0.00000     0.75689     1.07201     0.00000     0.53601
    13     10     1.77348     0.00000     0.88674     1.94830     0.00000     0.97415     1.94830     0.00000     0.97415     1.77348     0.00000     0.88674     1.77348     0.00000     0.88674     1.77348     0.00000     0.88674     1.77348     0.00000     0.88674     1.77348     0.00000     0.88674     1.94830     0.00000     0.97415     1.94830     0.00000     0.97415
    13     11     2.45901     0.00000     1.22950     2.15756     0.00000     1.07878     2.15756     0.00000     1.07878     2.45901     0.00000     1.22950     2.15756     0.00000     1.07878     2.15756     0.00000     1.07878     2.45901     0.00000     1.22950     2.15756     0.00000     1.07878     2.15756     0.00000     1.07878     2.45901     0.00000     1.22950
    13     12     2.24056     0.00000     1.12028     2.55964     0.00000     1.27982     2.24056     0.00000     1.12028     2.24056     0.00000     1.12028     2.55964     0.00000     1.27982     2.24056     0.00000     1.12028     2.55964     0.00000     1.27982     2.24056     0.00000     1.12028     2.55964     0.00000     1.27982     2.55964     0.00000     1.27982
    13     13     2.24056     1.12028     0.00000     2.10922     0.00000     1.05461     2.24056     0.06115     1.05913     2.24056     0.74645     0.37383     2.38809     0.62024     0.57380     2.52770     0.00245     1.26140     2.10922     0.88302     0.17159     1.06210     0.00000     0.53105     2.24056     0.00000     1.12028     1.87653     0.02524     0.91302
    14      7     0.77182     0.38591     0.00000     0.77182     0.38591     0.00000     0.77182     0.38591    -0.00000     0.77182     0.38591    -0.00000     0.77182     0.38591     0.00000     0.77182     0.38591     0.00000     0.77182     0.38591    -0.00000     0.77182     0.38591     0.00000     0.77182     0.38591     0.00000     0.77182     0.38591     0.00000
    14      8     1.01287     0.40371     0.10273     1.22434     0.00000     0.61217     1.01287     0.00000     0.50643     1.22434     0.00000     0.61217     1.01287     0.00000     0.50643     1.01287     0.00000     0.50643     1.01287     0.29996     0.20648     1.01287     0.50643     0.00000     1.01287     0.00000     0.50643     1.01287     0.00000     0.50643
    14      9     1.51496     0.00000     0.75748     1.51496     0.75748     0.00000     0.00000     0.00000     0.00000     1.69684     0.34065     0.50777     1.51496     0.00000     0.75748     1.51496     0.00000     0.75748     1.51496     0.51767     0.23982     1.51496     0.00000     0.75748     1.51496     0.75748     0.00000     1.51496     0.03042     0.72706
    14     10     1.16625     0.05541     0.52771     1.16625     0.58313     0.00000     1.16625     0.17099     0.41213     2.01293     0.26224     0.74423     1.12028     0.56014     0.00000     1.87638     0.56014     0.37805     1.78656     0.39851     0.49477     1.12028     0.20991     0.35023     1.43842     0.71921     0.00000     1.16625     0.56653     0.01660
    14     11     1.97903     0.00874     0.98077     1.81163     0.28675     0.61907     1.97903     0.00114     0.98837     1.59027     0.79514     0.00000     1.81163     0.90582     0.00000     1.97903     0.00034     0.98918     1.97903     0.15672     0.83279     1.81163     0.90582    -0.00000     1.97903     0.98952     0.00000     1.97903     0.83944     0.15008
    14     12     1.87653     0.93826     0.00000     2.30609     1.01459     0.13846     2.08053     0.93680     0.10346     2.30609     1.15305     0.00000     2.16810     1.08405     0.00000     2.08053     0.93656     0.10370     2.08053     0.96825     0.07202     2.24612     1.08405     0.03901     2.08053     1.04026     0.00000     2.30609     1.10657     0.04648
    14     13     1.51250     0.75625     0.00000     2.26550     0.36310     0.76965     2.21618     0.00000     1.10809     2.08529     0.88505     0.15759     1.40149     0.66592     0.03482     1.06210     0.53105     0.00000     1.06210     0.49731     0.03373     2.08529     0.29502     0.74763     2.08529     0.71647     0.32618     2.08529     1.03681     0.00584
   353      6     0.41377     0.00000     0.20688     0.41377     0.02968     0.17720     0.41377     0.20688     0.00000     0.41377     0.00000     0.20688     0.41377     0.08791     0.11898     0.41377     0.17721     0.02967     0.35403     0.15910     0.01791     0.35403     0.00000     0.17702     0.35403     0.17702     0.00000     0.41377     0.00120     0.20568
   353      7     1.20924     0.00000     0.60462     0.97471     0.48736     0.00000     0.97471     0.48736     0.00000     1.20924     0.24368     0.36094     1.20924     0.48736     0.11727     1.20924     0.48736     0.11727     0.97471     0.48736     0.00000     0.97471     0.48736     0.00000     0.97471     0.48736     0.00000     1.20924     0.00000     0.60462
   353      8     1.69627     0.00000     0.84813     1.69627     0.00000     0.84813     1.57551     0.00000     0.78775     1.77134     0.00000     0.88567     1.83376     0.00000     0.91688     1.57551     0.00000     0.78775     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.43651     0.00000     0.71825
   353      9     1.77756     0.00000     0.88878     1.96698     0.00000     0.98349     1.96698     0.89549     0.08799     1.96698     0.98349     0.00000     1.96698     0.44562     0.53787     1.96698     0.00022     0.98326     1.77756     0.88878     0.00000     1.77756     0.00000     0.88878     1.96698     0.94690     0.03658     1.96698     0.97086     0.01262
   353     10     2.68000     0.07067     1.26933     2.68000     1.33786     0.00214     2.68000     1.11862     0.22138     2.68000     1.34000     0.00000     2.68000     1.22986     0.11014     2.68000     1.34000     0.00000     2.24056     1.12028     0.00000     2.68000     0.00244     1.33756     2.68000     1.15341     0.18659     2.68000     1.27562     0.06438
   353     11     2.70975     1.35488     0.00000     2.81086     1.37676     0.02867     2.81086     1.39288     0.01255     2.91417     0.00000     1.45708     2.81086     1.06576     0.33967     2.81086     0.76213     0.64330     2.81086     1.40543     0.00000     2.91417     0.00152     1.45556     2.81086     1.35268     0.05276     2.81086     0.70413     0.70130
   353     12     2.24056     1.12028     0.00000     2.63278     1.12028     0.19611     2.63278     1.12028     0.19611     2.63278     1.12028     0.19611     2.24056     0.88354     0.23674     2.90676     0.63182     0.82156     2.79275     1.12028     0.27609     2.79275     0.00126     1.39512     2.24056     1.12028     0.00000     2.24056     1.12028     0.00000
   354      6     0.39421     0.19710     0.00000     0.39421     0.13850     0.05860     0.39421     0.19710     0.00000     0.39421     0.18037     0.01674     0.39421     0.14430     0.05281     0.39421     0.19710     0.00000     0.35403     0.17702     0.00000     0.35403     0.15222     0.02480     0.39421     0.14873     0.04838     0.39421     0.19710     0.00000
   354      7     0.92499     0.00000     0.46250     0.92499     0.00000     0.46250     0.92499     0.00000     0.46250     0.92499     0.00000     0.46250     0.92499     0.00000     0.46250     0.92499     0.46250     0.00000     0.92499     0.40059     0.06191     0.92499     0.00000     0.46250     0.92499     0.00000     0.46250     0.92499     0.46250     0.00000
   354      8     1.70919     0.00000     0.85460     1.59390     0.00000     0.79695     1.59390     0.00000     0.79695     1.65685     0.00000     0.82843     1.70919     0.00000     0.85460     1.70919     0.00000     0.85460     1.65685     0.00000     0.82843     1.65685     0.00000     0.82843     1.70919     0.00000     0.85460     1.59390     0.00000     0.79695
   354      9     2.09945     0.47502     0.57471     2.09945     1.04972     0.00000     1.06210     0.53105    -0.00000     2.18004     0.73938     0.35064     1.06210     0.53105     0.00000     2.09945     1.04972     0.00000     2.00045     0.72753     0.27269     2.18004     0.90251     0.18751     2.18004     0.99856     0.09146     2.09945     1.04972     0.00000
   354     10     2.45429     1.22714     0.00000     2.54905     1.12165     0.15288     2.45429     0.00000     1.22714     2.45429     1.17862     0.04853     2.54905     1.21686     0.05767     2.54905     1.27453     0.00000     2.54905     1.26386     0.01066     1.51250     0.75625     0.00000     2.54905     0.95179     0.32273     2.54905     1.27453    -0.00000
   354     11     2.69572     1.08708     0.26078     2.57243     1.28621     0.00000     2.69572     1.29854     0.04932     2.69572     1.32730     0.02056     2.69572     1.25407     0.09379     2.69572     1.34786     0.00000     2.57243     1.28621     0.00000     2.57243     1.19472     0.09149     2.57243     1.28621     0.00000     2.69572     1.34786     0.00000
   354     12     2.63278     1.31639     0.00000     2.69448     1.34724     0.00000     2.80652     1.36218     0.04109     2.80652     1.40326     0.00000     2.89487     1.30829     0.13914     2.80652     1.35780     0.04546     2.69448     1.34724     0.00000     2.80652     1.35532     0.04795     2.80652     1.38840     0.01486     2.80652     1.35780     0.04546
   354     13     2.69273     0.93560     0.41077     2.63278     0.91047     0.40591     2.63278     1.31639     0.00000     2.70216     1.26423     0.08685     2.63278     1.01976     0.29662     2.85176     1.35235     0.07353     2.69273     1.34637     0.00000     2.67116     0.90093     0.43465     2.24056     1.12028     0.00000     2.70470     1.35235     0.00000
   355      6     0.37695     0.00000     0.18847     0.37695     0.00000     0.18847     0.35403     0.00000     0.17702     0.37695     0.00000     0.18847     0.35403     0.00000     0.17702     0.37695     0.00000     0.18847     0.35403     0.00000     0.17702     0.37695     0.00000     0.18847     0.37695     0.00000     0.18847     0.35403     0.00000     0.17702
   355      7     0.87991     0.00000     0.43995     0.87991     0.00000     0.43995     0.87991     0.00000     0.43995     0.87991     0.00000     0.43995     0.87991     0.00000     0.43995     0.87991     0.00000     0.43995     0.87991     0.00000     0.43995     0.87991     0.00000     0.43995     0.87991     0.00000     0.43995     0.87991     0.00000     0.43995
   355      8     0.70807     0.00000     0.35403     1.39882     0.00000     0.69941     1.28799     0.00000     0.64399     1.54980     0.00000     0.77490     1.39882     0.00000     0.69941     1.28799     0.00000     0.64399     1.28799     0.00000     0.64399     1.39882     0.00000     0.69941     1.28799     0.00000     0.64399     1.39882     0.00000     0.69941
   355      9     1.12028     0.00000     0.56014     1.13635     0.00000     0.56818     1.12028     0.00000     0.56014     1.98059     0.00000     0.99030     1.98059     0.00000     0.99030     1.13635     0.00000     0.56818     1.13635     0.00000     0.56818     1.13635     0.00000     0.56818     1.12028     0.00000     0.56014     1.77597     0.00000     0.88799
   355     10     2.41615     0.00000     1.20807     2.32985     0.56251     0.60242     2.22170     0.33096     0.77989     2.32985     0.63476     0.53017     2.32985     0.00000     1.16493     2.08560     1.04280     0.00000     2.41615     0.05362     1.15445     2.32985     0.00000     1.16493     2.08560     0.00000     1.04280     2.08560     0.33096     0.71184
   355     11     2.66191     1.12737     0.20359     2.66191     0.55890     0.77205     2.66191     1.25783     0.07313     2.57268     0.63069     0.65565     2.45867     0.00000     1.22934     2.66191     1.33096     0.00000     2.45867     1.22934     0.00000     2.66191     1.17038     0.16058     2.24056     0.00102     1.11926     2.66191     1.25783     0.07313
   355     12     2.58484     0.00000     1.29242     2.77483     0.38630     1.00111     2.24056     0.00000     1.12028     2.77483     1.06124     0.32618     2.69227     0.31030     1.03583     2.24056     1.12028     0.00000     2.24056     0.38630     0.73398     2.58484     0.88505     0.40737     2.58484     1.29242     0.00000     2.77483     0.00000     1.38742
   355     13     2.24056     1.12028     0.00000     2.58870     0.41878     0.87557     2.46954     0.00000     1.23477     2.58870     1.29435     0.00000     2.46954     1.17118     0.06359     2.46954     1.21447     0.02030     2.46954     0.41878     0.81599     2.24056     0.76717     0.35311     2.24056     1.12028     0.00000     2.68026     0.00000     1.34013
   356      7     0.80549     0.00000     0.40275     0.80549     0.00000     0.40275     0.80549     0.00000     0.40275     0.80549     0.00000     0.40275     0.48702     0.00000     0.24351     0.80549     0.00000     0.40275     0.80549     0.00000     0.40275     0.80549     0.00000     0.40275     0.80549     0.00000     0.40275     0.80549     0.00000     0.40275
   356      8     1.05502     0.33831     0.18920     1.05502     0.52751     0.00000     1.05502     0.29379     0.23372     0.70807     0.00000     0.35403     1.05502     0.43370     0.09381     1.05502     0.00000     0.52751     1.28757     0.41115     0.23264     1.05502     0.00000     0.52751     1.28757     0.00000     0.64378     1.28757     0.03307     0.61072
   356      9     1.59028     0.50995     0.28519     1.59028     0.79514     0.00000     1.59028     0.44285     0.35229     1.59028     0.00000     0.79514     1.74617     0.65373     0.21935     1.59028     0.00000     0.79514     1.74617     0.61974     0.25334     1.03514     0.00000     0.51757     1.59028     0.00000     0.79514     1.59028     0.04984     0.74530
   356     10     1.20767     0.01630     0.58754     1.20767     0.54345     0.06039     1.20767     0.14836     0.45547     1.20767     0.00000     0.60384     1.12028     0.40199     0.15815     1.20767     0.60384     0.00000     1.20767     0.58893     0.01491     1.20767     0.37749     0.22635     1.12028     0.56014     0.00000     1.20767     0.00667     0.59717
   356     11     1.87653     0.93826     0.00000     2.26548     0.91030     0.22244     2.33656     0.97628     0.19200     2.06598     0.00000     1.03299     2.06598     0.99680     0.03619     2.17465     0.00052     1.08681     2.33656     1.01192     0.15636     2.33656     0.36178     0.80650     1.87653     0.93826     0.00000     2.26548     0.96482     0.16792
   356     12     2.42330     1.05505     0.15660     2.15665     1.07780     0.00052     2.15665     1.07832     0.00000     2.15665     1.07832     0.00000     2.16889     1.07832     0.00612     2.42330     1.21165     0.00000     2.16889     1.06477     0.01968     2.16889     1.08445     0.00000     2.16889     1.07780     0.00665     2.15665     1.05357     0.02476
   356     13     2.38006     1.06215     0.12788     0.70807     0.35403     0.00000     2.38006     0.37615     0.81388     2.15533     1.07766     0.00000     2.17232     0.58044     0.50572     2.38006     1.19003     0.00000     2.17232     0.73255     0.35360     2.17232     1.08616     0.00000     2.17232     0.35403     0.73213     2.38006     1.05767     0.13236
   357      7     0.73871     0.12032     0.24903     0.73871     0.36935     0.00000     0.73871     0.04451     0.32485     0.73871     0.00000     0.36935     0.73871     0.28593     0.08342     0.73871     0.33120     0.03816     0.73871     0.00000     0.36935     0.73871     0.13635     0.23300     0.73871     0.00000     0.36935     0.73871     0.00000     0.36935
   357      8     1.15967     0.15796     0.42188     0.96976     0.48488     0.00000     0.96976     0.05842     0.42645     0.96976     0.00000     0.48488     0.96976     0.37536     0.10951     0.96976     0.43479     0.05009     0.96976     0.00000     0.48488     0.96976     0.17900     0.30588     0.96976     0.00000     0.48488     0.96976     0.00000     0.48488
   357      9     1.32428     0.00000     0.66214     1.43342     0.00000     0.71671     1.43342     0.00000     0.71671     1.43342     0.00000     0.71671     1.43342     0.00000     0.71671     1.43342     0.00000     0.71671     1.43342     0.00000     0.71671     1.43342     0.00000     0.71671     1.32428     0.00000     0.66214     0.00000     0.00000     0.00000
   357     10     1.83107     0.00000     0.91553     1.69051     0.35174     0.49352     1.76546     0.43848     0.44425     1.11780     0.55890     0.00000     1.69051     0.84526     0.00000     1.69051     0.36785     0.47741     1.11780     0.00000     0.55890     1.11780     0.14467     0.41424     1.11780     0.00109     0.55781     1.11780     0.00000     0.55890
   357     11     1.86886     0.00000     0.93443     1.86886     0.00000     0.93443     1.86886     0.00000     0.93443     1.71597     0.00000     0.85798     2.01662     0.00000     1.00831     1.86886     0.00000     0.93443     1.86886     0.00000     0.93443     1.86886     0.00000     0.93443     1.86886     0.00000     0.93443     1.51250     0.00000     0.75625
   357     12     2.09009     1.04505     0.00000     2.09009     1.04505     0.00000     2.09009     1.03693     0.00811     1.95693     0.97847     0.00000     2.14216     0.96093     0.11015     2.09009     1.04505     0.00000     2.09009     0.12425     0.92079     2.09009     1.04505     0.00000     2.09009     0.55246     0.49259     2.09009     0.00103     1.04402
   358      7     0.72631     0.36315     0.00000     0.72631     0.00098     0.36218     0.72631     0.36315     0.00000     0.72631     0.36315     0.00000     0.72631     0.00777     0.35538     0.72631     0.36315    -0.00000     0.72631     0.36271     0.00045     0.72631     0.06527     0.29789     0.72631     0.08927     0.27388     0.72631     0.07901     0.28414
   358      8     0.96002     0.00000     0.48001     0.96002     0.00000     0.48001     0.96002     0.00000     0.48001     0.96002     0.00000     0.48001     0.96002     0.00000     0.48001     0.96002     0.00000     0.48001     0.96002     0.00000     0.48001     0.96002     0.00000     0.48001     0.96002     0.00000     0.48001     0.96002     0.00000     0.48001
   358      9     1.31883     0.00000     0.65941     1.42700     0.00000     0.71350     1.31883     0.00000     0.65941     1.42700     0.00000     0.71350     1.42700     0.00000     0.71350     1.42700     0.00000     0.71350     1.31883     0.00000     0.65941     1.31883     0.00000     0.65941     1.42700     0.00000     0.71350     1.54003     0.00000     0.77002
   358     10     1.69663     0.24663     0.60168     1.69663     0.00000     0.84831     1.12028     0.00000     0.56014     1.12114     0.00000     0.56057     1.69663     0.00000     0.84831     1.12114     0.56057     0.00000     1.69663     0.60846     0.23985     1.69663     0.00000     0.84831     1.12028     0.00000     0.56014     1.69663     0.00000     0.84831
   358     11     1.89075     0.38393     0.56145     1.89075     0.00000     0.94538     1.89075     0.00000     0.94538     1.89075     0.00000     0.94538     1.89075     0.00000     0.94538     1.73498     0.00000     0.86749     1.73498     0.86749     0.00000     1.89075     0.00000     0.94538     1.73498     0.00000     0.86749     1.73498     0.32804     0.53945
   358     12     1.99694     0.98649     0.01198     1.99694     0.99847     0.00000     1.83877     0.36095     0.55843     1.99694     0.20626     0.79221     1.99694     0.61230     0.38617     1.83877     0.73755     0.18184     1.83877     0.88284     0.03654     1.99694     0.99847     0.00000     1.83877     0.77346     0.14592     1.99694     0.99847     0.00000
   358     13     1.86035     0.06846     0.86172     1.86035     0.83311     0.09707     2.00858     0.68154     0.32275     1.36012     0.68006     0.00000     1.36012     0.00000     0.68006     1.86035     0.00000     0.93018     1.86035     0.93018     0.00000     2.00858     0.85552     0.14877     1.12028     0.00000     0.56014     1.86035     0.91479     0.01539
   359      7     0.73922     0.00000     0.36961     0.73922     0.36961     0.00000     0.73922     0.12727     0.24234     0.73922     0.00000     0.36961     0.73922     0.36961     0.00000     0.73922     0.36467     0.00495     0.73922     0.00000     0.36961     0.73922     0.00184     0.36777     0.73922     0.11033     0.25928     0.73922     0.05061     0.31900
   359      8     0.97738     0.00000     0.48869     0.97738     0.03516     0.45353     0.97738     0.48869     0.00000     0.97738     0.00000     0.48869     0.97738     0.03516     0.45353     0.97738     0.12054     0.36815     0.97738     0.00000     0.48869     0.97738     0.48869     0.00000     0.97738     0.48869     0.00000     0.97738     0.37418     0.11451
   359      9     1.46174     0.00000     0.73087     1.58389     0.05258     0.73936     1.58389     0.73087     0.06107     1.46174     0.00000     0.73087     1.46174     0.05258     0.67829     1.46174     0.18028     0.55059     1.58389     0.00000     0.79195     1.46174     0.73087     0.00000     1.46174     0.73087     0.00000     1.46174     0.55961     0.17126
   359     10     1.74057     0.78574     0.08454     1.89426     0.00000     0.94713     1.74057     0.83219     0.03810     1.74057     0.00000     0.87028     1.14318     0.00000     0.57159     1.12028     0.00000     0.56014     1.59503     0.01243     0.78508     1.12028     0.56014     0.00000     1.89426     0.87678     0.07035     1.74057     0.87028     0.00000
   359     11     1.78231     0.89115     0.00000     1.94526     0.78168     0.19095     2.03376     0.90255     0.11433     1.78231     0.82037     0.07078     1.94526     0.78168     0.19095     1.94526     0.97263     0.00000     1.56683     0.78341     0.00000     1.78231     0.89115     0.00000     1.94526     0.90442     0.06821     1.94526     0.90293     0.06970
   359     12     2.22428     1.09867     0.01347     2.22428     0.97010     0.14204     2.22428     1.11214     0.00000     2.06323     0.96892     0.06270     2.22428     0.97010     0.14204     2.06323     1.03161     0.00000     2.22428     0.95377     0.15837     2.22428     1.11214     0.00000     2.22428     1.11214     0.00000     1.87653     0.93826     0.00000
   359     13     1.87653     0.00000     0.93826     2.08759     0.00000     1.04380     1.87653     0.09022     0.84805     2.08759     0.00000     1.04380     2.08759     0.00000     1.04380     2.08759     0.00000     1.04380     2.08759     0.00000     1.04380     1.06210     0.53105    -0.00000     2.08759     0.02117     1.02263     2.08759     0.00000     1.04380
   360      7     0.43790     0.21375     0.00520     0.43790     0.21895     0.00000     0.43790     0.21895     0.00000     0.43790     0.21895     0.00000     0.35403     0.17702     0.00000     0.43790     0.17538     0.04357     0.43790     0.21895     0.00000     0.43790     0.17702     0.04193     0.35403     0.17702     0.00000     0.43790     0.18357     0.03538
   360      8     0.93539     0.46770     0.00000     0.93539     0.46770     0.00000     0.93539     0.46770     0.00000     0.93539     0.46770     0.00000     0.93539     0.46770     0.00000     0.56602     0.28301     0.00000     0.93539     0.46770     0.00000     0.93539     0.46770     0.00000     0.93539     0.28995     0.17774     0.93539     0.31772     0.14997
   360      9     1.28002     0.64001     0.00000     1.38132     0.69066     0.00000     1.44226     0.64795     0.07318     1.51502     0.46134     0.29617     1.48237     0.74118    -0.00000     0.91873     0.00000     0.45936     1.38132     0.41340     0.27726     1.48237     0.74118     0.00000     1.51502     0.67707     0.08044     1.38132     0.60007     0.09060
   360     10     1.51253     0.75627     0.00000     1.64453     0.49988     0.32238     1.64453     0.64466     0.17760     1.64453     0.46677     0.35550     1.64453     0.54595     0.27632     1.09190     0.54595     0.00000     1.09190     0.47500     0.07095     1.09190     0.54595     0.00000     1.09190     0.54595     0.00000     1.64453     0.80699     0.01528
   360     11     1.12028     0.36636     0.19378     1.21520     0.60760     0.00000     1.12028     0.56014     0.00000     1.12028     0.15815     0.40199     1.21520     0.00054     0.60706     1.97222     0.00000     0.98611     1.21520     0.11185     0.49575     1.21520     0.00054     0.60706     1.83369     0.56932     0.34752     1.68543     0.55687     0.28584
   360     12     1.93676     0.00000     0.96838     1.78598     0.00000     0.89299     1.78598     0.00000     0.89299     1.78598     0.00000     0.89299     1.93676     0.00000     0.96838     1.78598     0.00000     0.89299     2.06463     0.00000     1.03232     1.78598     0.00000     0.89299     1.93676     0.00000     0.96838     1.29480     0.00000     0.64740
   360     13     1.80622     0.00130     0.90181     1.80622     0.38796     0.51516     1.94749     0.97374     0.00000     1.94749     0.00000     0.97374     1.94749     0.42349     0.55025     1.32718     0.00000     0.66359     1.94749     0.00000     0.97374     1.80622     0.42349     0.47962     1.32718     0.22674     0.43686     1.94749     0.05010     0.92364
   361      7     0.43148     0.18440     0.03134     0.43148     0.14555     0.07019     0.43148     0.21574     0.00000     0.43148     0.00000     0.21574     0.35403     0.17702     0.00000     0.43148     0.00585     0.20989     0.43148     0.03480     0.18094     0.43148     0.00000     0.21574     0.43148     0.18681     0.02893     0.43148     0.00000     0.21574
   361      8     0.91622     0.00000     0.45811     0.91622     0.06988     0.38823     0.91622     0.45811     0.00000     0.91622     0.00000     0.45811     0.91622     0.35575     0.10236     0.91622     0.00000     0.45811     0.91622     0.06988     0.38823     0.91622     0.45811     0.00000     0.91622     0.07760     0.38051     0.91622     0.00000     0.45811
   361      9     1.34063     0.63282     0.03749     1.34063     0.10225     0.56806     1.34063     0.67031     0.00000     1.34063     0.26307     0.40724     1.34063     0.67031     0.00000     1.34063     0.06214     0.60817     1.34063     0.10225     0.56806     1.34063     0.67031     0.00000     1.34063     0.67031     0.00000     1.34063     0.01036     0.65996
   361     10     1.59135     0.00000     0.79567     1.59135     0.00000     0.79567     1.06194     0.00000     0.53097     1.06194     0.00000     0.53097     1.70588     0.00000     0.85294     1.59135     0.00000     0.79567     1.59135     0.00000     0.79567     1.59135     0.00000     0.79567     1.59135     0.00000     0.79567     1.06194     0.00000     0.53097
   361     11     1.12028     0.56014     0.00000     1.18061     0.02732     0.56298     1.76641     0.01367     0.86953     1.18061     0.52978     0.06053     1.18061     0.29260     0.29770     1.88729     0.00000     0.94364     1.76641     0.44547     0.43774     1.93603     0.96802     0.00000     1.76641     0.10582     0.77739     1.18061     0.18671     0.40359
