--------------------------------------------------------------------------------------------------------------------
Turbine Test for Reduced number of cycles
Scenarios: 10
Turbines: 3
Time Limit: 172800
Max Gap: 0.05
-------------------------------------
Status: Unfinished
Profit = 119727
Gap: 72.2424 %
-------------------------------------
 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)
     3     10     3.87912     0.00000     1.93956     3.33605     0.00000     1.66803     2.68888     0.00000     1.34444     2.68888     0.00000     1.34444     3.88467     0.00000     1.94233     2.68888     0.00000     1.34444     3.87124     0.00000     1.93562     3.87124     0.00000     1.93562     3.87124     0.00000     1.93562     3.87912     0.00000     1.93956
     3     11     5.13032     2.52220     0.04296     5.13032     0.00000     2.56516     5.13106     1.51462     1.05091     4.86173     2.43087     0.00000     5.13032     2.43087     0.13429     5.13106     2.46691     0.09862     5.13032     2.51874     0.04642     5.13032     2.56516     0.00000     5.13032     2.51874     0.04642     5.13106     2.56553     0.00000
     3     12     6.35121     0.00000     3.17560     5.31042     0.00000     2.65521     6.35121     0.00000     3.17560     5.70583     0.00000     2.85291     5.31042     0.00000     2.65521     5.34409     0.00000     2.67205     5.31042     0.64586     2.00935     5.31042     2.65521     0.00000     5.31042     0.64586     2.00935     6.35121     0.00000     3.17560
     4      5     0.40830     0.11702     0.08713     0.40830     0.11329     0.09086     0.35403     0.16610     0.01092     0.40830     0.19784     0.00631     0.40830     0.11329     0.09086     0.40830     0.20415     0.00000     0.35403     0.17702     0.00000     0.40830     0.20415     0.00000     0.40830     0.14623     0.05792     0.40830     0.20415     0.00000
     4      6     1.44519     0.00000     0.72260     1.44519     0.00000     0.72260     0.00000     0.00000     0.00000     1.44519     0.00000     0.72260     1.10392     0.00000     0.55196     1.10392     0.00000     0.55196     1.44519     0.00000     0.72260     1.10392     0.00000     0.55196     1.44519     0.00000     0.72260     1.06210     0.00000     0.53105
     4      7     2.24556     0.10312     1.01966     2.24556     0.00306     1.11972     1.06210     0.53105     0.00000     2.40173     0.61548     0.58538     1.81171     0.00306     0.90279     2.03826     0.66090     0.35823     2.53448     0.01091     1.25633     1.81171     0.90586     0.00000     2.24556     0.03062     1.09216     2.53448     0.00000     1.26724
     4      8     3.36849     0.00000     1.68425     3.36849     0.00000     1.68425     3.36084     0.00000     1.68042     3.36849     0.00000     1.68425     3.36084     0.00000     1.68042     3.36084     1.68042     0.00000     3.36084     0.78705     0.89337     3.36849     0.94644     0.73780     3.36084     0.44425     1.23617     3.36849     0.27216     1.41209
     4      9     4.44470     0.00000     2.22235     4.44470     0.00000     2.22235     3.81704     0.00000     1.90852     3.81704     0.00000     1.90852     3.81704     0.00000     1.90852     4.44470     2.22235     0.00000     4.44470     1.04087     1.18148     4.44470     1.25167     0.97068     3.81704     0.58752     1.32100     4.44470     0.35993     1.86242
     4     10     5.29472     0.00000     2.64736     5.29472     0.00000     2.64736     5.29472     0.00000     2.64736     5.29472     0.00000     2.64736     5.29472     0.00000     2.64736     5.29472     0.00000     2.64736     5.29472     0.00000     2.64736     5.29472     0.00000     2.64736     5.29472     0.00000     2.64736     5.29472     0.00000     2.64736
     4     11     4.57285     0.00000     2.28643     4.57285     0.00000     2.28643     4.57285     0.00000     2.28643     4.57285     0.00000     2.28643     4.93471     0.00000     2.46736     4.57934     0.00000     2.28967     3.98322     0.00000     1.99161     4.93523     0.00000     2.46762     4.57285     0.00000     2.28643     4.57934     0.00000     2.28967
     4     12     5.19975     0.00000     2.59988     5.19975     0.56392     2.03595     5.19975     2.59988     0.00000     5.19975     2.59988     0.00000     5.19975     0.56392     2.03595     3.98322     0.00000     1.99161     5.19975     2.11957     0.48031     5.19975     2.59988     0.00000     5.19975     1.86678     0.73310     5.19975     0.00000     2.59988
     5      6     1.35994     0.09399     0.58598     1.35994     0.16342     0.51656     1.35994     0.00000     0.67997     1.35994     0.40606     0.27391     1.04709     0.52354     0.00000     1.04709     0.52354     0.00000     1.35994     0.00000     0.67997     1.35994     0.00000     0.67997     0.00000     0.00000     0.00000     1.35994     0.65095     0.02902
     5      7     2.36721     0.17089     1.01271     2.24954     0.00000     1.12477     2.36721     0.00000     1.18360     2.36721     0.00000     1.18360     2.24954     0.00000     1.12477     2.24954     0.95195     0.17282     2.36721     0.00000     1.18360     2.24954     0.00000     1.12477     2.36721     0.00000     1.18360     2.36721     1.18360     0.00000
     5      8     3.16866     0.00000     1.58433     2.99681     0.00000     1.49841     3.16866     0.00000     1.58433     3.16866     0.00000     1.58433     2.99681     0.00000     1.49841     3.16866     0.53974     1.04459     2.99681     0.00000     1.49841     3.16866     0.81343     0.77090     3.16866     0.00000     1.58433     3.16866     1.58433     0.00000
     5      9     3.42055     0.00000     1.71028     3.42055     0.00000     1.71028     3.90551     0.00000     1.95276     3.42055     0.00000     1.71028     3.42055     0.00000     1.71028     3.42055     0.58265     1.12763     3.90551     0.00000     1.95276     3.42055     0.87809     0.83219     3.42055     0.00000     1.71028     3.42055     1.71028     0.00000
     5     10     1.34444     0.00000     0.67222     1.99161     0.00000     0.99581     2.16590     0.00000     1.08295     1.34444     0.00000     0.67222     1.34444     0.00000     0.67222     1.99161     0.00000     0.99581     2.16590     0.00000     1.08295     2.16590     0.00000     1.08295     1.99161     0.00000     0.99581     2.16590     0.00000     1.08295
     5     11     3.92956     0.00000     1.96478     3.93759     0.00000     1.96880     3.93292     0.00000     1.96646     3.92956     0.00000     1.96478     3.93759     0.00000     1.96880     3.93292     0.00000     1.96646     5.49248     0.00000     2.74624     3.92956     0.00000     1.96478     3.93759     0.00000     1.96880     3.93759     0.00000     1.96880
     5     12     4.59045     0.00000     2.29523     4.59468     0.00000     2.29734     4.59045     0.00000     2.29523     4.59045     0.00000     2.29523     4.16556     0.00000     2.08278     5.20746     0.00000     2.60373     4.59468     0.00000     2.29734     4.59468     0.00000     2.29734     4.59045     0.00000     2.29523     4.93304     0.00000     2.46652
     5     13     4.63894     0.00000     2.31947     4.64124     0.00000     2.32062     4.96643     0.00000     2.48322     4.64124     0.00000     2.32062     4.96643     0.00000     2.48322     4.64124     0.00000     2.32062     4.96643     0.00000     2.48322     4.64124     0.00000     2.32062     4.63894     0.00000     2.31947     4.64124     0.00000     2.32062
