 Cycle Period  Scenario      SoldDA      SoldRT
   198      2         2        0.00        0.00
   198      2         3        0.00        0.00
   198      2         4        0.00        0.00
   198      2         5        0.00        0.00
   198      2         6        0.00        0.00
   198      2         7        0.00        0.00
   198      2         8        0.00        0.00
   198      2         9        0.00        0.00
   198      2        10        0.00        0.00
   198      2        11        0.00        0.00
   198      2        12        0.00        0.00
   198      2        13        0.00        0.00
   198      2        14        0.00        0.00
   198      2        15        0.00        0.00
   198      3         1        0.00        0.00
   198      3         2        0.00        0.00
   198      3         3        0.00        0.00
   198      3         4        0.00        0.00
   198      3         5        0.00        0.00
   198      3         6        0.00        0.00
   198      3         7        0.00        0.00
   198      3         8        0.00        0.00
   198      3         9        0.00        0.00
   198      3        10        0.00        0.00
   198      3        11        0.00        0.00
   198      3        12        0.00        0.00
   198      3        13        0.00        0.00
   198      3        14        0.00        0.00
   198      3        15        0.00        0.00
   198      4         1        0.00        0.00
   198      4         2        0.00        0.00
   198      4         3        0.00        0.00
   198      4         4        0.00        0.00
   198      4         5        0.00        0.00
   198      4         6        0.00        0.00
   198      4         7        0.00        0.00
   198      4         8        0.00        0.00
   198      4         9        0.00        0.00
   198      4        10        0.00        0.00
   198      4        11        0.00        0.00
   198      4        12        0.00        0.00
   198      4        13        0.00        0.00
   198      4        14        0.00        0.00
   198      4        15        0.00        0.00
   198      5         1        0.00        0.00
   198      5         2        0.00        0.00
   198      5         3        0.00        0.00
   198      5         4        0.00        0.00
   198      5         5        0.00        0.00
   198      5         6        0.00        0.00
   198      5         7        0.00        0.00
   198      5         8        0.00        0.00
   198      5         9        0.00        0.00
   198      5        10        0.00        0.00
   198      5        11        0.00        0.00
   198      5        12        0.00        0.00
   198      5        13        0.00        0.00
   198      5        14        0.00        0.00
   198      5        15        0.00        0.00
   198      6         1        0.00        0.00
   198      6         2        0.00        0.00
   198      6         3        0.00        0.00
   198      6         4        0.00        0.00
   198      6         5        0.00        0.00
   198      6         6        0.00        0.00
   198      6         7        0.00        0.00
   198      6         8        0.00        0.00
   198      6         9        0.00        0.00
   198      6        10        0.00        0.00
   198      6        11        0.00        0.00
   198      6        12        0.00        0.00
   198      6        13        0.00        0.00
   198      6        14        0.00        0.00
   198      6        15        0.00        0.00
   198      7         1        0.00        0.00
   198      7         2        0.00        0.00
   198      7         3        0.00        0.00
   198      7         4        0.00        0.00
   198      7         5        0.00        0.00
   198      7         6        0.00        0.00
   198      7         7        0.00        0.00
   198      7         8        0.00        0.00
   198      7         9        0.00        0.00
   198      7        10        0.00        0.00
   198      7        11        0.00        0.00
   198      7        12        0.00        0.00
   198      7        13        0.00        0.00
   198      7        14        0.00        0.00
   198      7        15        0.00        0.00
   198      8         1        0.00        0.00
   198      8         2        0.00        0.00
   198      8         3        0.00        1.74
   198      8         4        0.00        0.00
   198      8         5        0.00        0.00
   198      8         6        0.00        0.00
   198      8         7        0.00        0.00
   198      8         8        0.00        0.00
   198      8         9        0.00        0.00
   198      8        10        0.00        2.10
   198      8        11        0.00        0.79
   198      8        12        0.00        0.39
   198      8        13        0.00        1.24
   198      8        14        0.00        0.00
   198      8        15        0.00        0.00
   198      9         1        2.53        0.00
   198      9         2        2.53        0.00
   198      9         3        0.00        2.05
   198      9         4        0.57        0.00
   198      9         5        0.31        2.22
   198      9         6        2.53        0.00
   198      9         7        0.00        1.89
   198      9         8        2.53        0.00
   198      9         9        0.00        1.26
   198      9        10        0.00        0.00
   198      9        11        0.00        2.31
   198      9        12        1.73        0.00
   198      9        13        1.26        0.00
   198      9        14        0.83        1.06
   198      9        15        2.53        0.00
   198     10         1        0.00        2.34
   198     10         2        0.73        1.61
   198     10         3        0.00        0.70
   198     10         4        0.00        2.77
   198     10         5        0.00        2.34
   198     10         6        0.00        2.31
   198     10         7        0.08        2.39
   198     10         8        0.00        0.85
   198     10         9        0.00        2.63
   198     10        10        0.00        0.00
   198     10        11        0.00        2.12
   198     10        12        0.51        1.48
   198     10        13        0.00        1.12
   198     10        14        0.80        1.67
   198     10        15        2.34        0.00
   198     11         1        0.50        1.12
   198     11         2        1.14        0.47
   198     11         3        1.92        0.00
   198     11         4        0.00        2.51
   198     11         5        0.00        2.09
   198     11         6        1.65        0.00
   198     11         7        2.18        0.03
   198     11         8        2.11        0.35
   198     11         9        0.00        2.37
   198     11        10        0.00        2.65
   198     11        11        1.85        0.01
   198     11        12        2.21        0.00
   198     11        13        0.00        2.21
   198     11        14        2.18        0.03
   198     11        15        1.98        0.11
   198     12         1        0.10        1.76
   198     12         2        0.38        1.48
   198     12         3        0.00        1.53
   198     12         4        0.00        2.16
   198     12         5        0.00        1.72
   198     12         6        0.00        1.86
   198     12         7        0.00        1.86
   198     12         8        2.10        0.00
   198     12         9        0.00        2.02
   198     12        10        0.00        2.30
