 Cycle     Profits
   191        0.00
   194        0.00
   197        0.00
   200   233283.87
   203        0.00
   206   527675.02
   209   465875.39
   212   528836.03
   215   991772.77
   218   651684.45
   621   577516.27
   624   481147.02
   627   411637.19
   630   238953.77
   633        0.00
   636        0.00
   639        0.00
   642    98247.12
   645        0.00
   648        0.00
  1102        0.00
  1105    60370.85
  1108   120598.08
  1111   176937.93
  1114   303347.64
  1117   180276.96
  1120   388162.86
  1123   775320.45
  1126   647467.42
  1129   582566.49
  1362   591246.05
  1365   579554.60
  1368   408362.14
  1371   400815.84
  1374   269112.62
  1377   267500.58
  1380        0.00
  1383        0.00
  1386   163927.19
  1389   111593.28
