 Cycle     Profits
   191   160662.38
   194   214820.94
   197   207153.91
   200   271628.34
   203   453482.24
   206   626412.70
   209   520104.76
   212   585152.91
   215  1269179.02
   218   811304.69
   621   709732.50
   624   626570.71
   627   500002.39
   630   273534.84
   633   295270.14
   636   247790.18
   639   228006.54
   642   145581.33
   645   119274.79
   648   149364.56
  1102   144772.50
  1105    90218.82
  1108   255013.80
  1111   243229.99
  1114   365059.41
  1117   254423.27
  1120   452145.80
  1123   991228.51
  1126   756136.02
  1129   637535.05
  1362   745934.71
  1365   725614.88
  1368   494592.88
  1371   499721.71
  1374   383647.81
  1377   302285.73
  1380   171840.97
  1383   144124.16
  1386   248796.28
  1389   169975.60
