 Cycle     Profits
   191        0.00
   194        0.00
   197        0.00
   200   214670.04
   203   194309.51
   206   486925.84
   209   464711.15
   212   546473.08
   215  1033976.40
   218   698393.62
   621   629757.16
   624   520145.27
   627   468570.12
   630   236418.57
   633   226573.23
   636        0.00
   639   173894.45
   642        0.00
   645    76939.93
   648   124663.15
  1102   129552.19
  1105    70853.51
  1108        0.00
  1111        0.00
