 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)    Power(11)   SoldDA(11)   SoldRT(11)    Power(12)   SoldDA(12)   SoldRT(12)    Power(13)   SoldDA(13)   SoldRT(13)    Power(14)   SoldDA(14)   SoldRT(14)    Power(15)   SoldDA(15)   SoldRT(15)
   390     10    11.98622     5.63823     0.35488    11.85802     1.30230     4.62671    10.44325     1.33486     3.88677    11.98622     5.99311     0.00000    11.98622     5.69756     0.29555    11.98622     5.23571     0.75740    11.98622     3.28830     2.70481    11.98622     5.25718     0.73593    10.44325     5.22163     0.00000    11.98622     5.22163     0.77148    11.98622     0.00000     5.99311    11.98622     5.99311     0.00000    11.98622     5.94168     0.05143    11.98622     5.49422     0.49889    10.44325     5.22163     0.00000
   390     11    10.83539     4.73748     0.68022    10.72236     0.00000     5.36118     9.47495     0.00000     4.73748    10.83539     0.00000     5.41770    10.83539     0.00000     5.41770    10.83539     4.75019     0.66750    10.83539     0.00000     5.41770    10.83539     4.73836     0.67933     9.47495     4.73748     0.00000    10.83539     2.06923     3.34847    10.83539     3.67018     1.74752    10.83539     5.41770     0.00000    10.83539     2.52283     2.89487    10.83539     2.06923     3.34847     9.47495     4.73748     0.00000
   390     12     9.19634     0.00000     4.59817     9.09668     0.00000     4.54834     7.99684     0.00000     3.99842     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     9.19634     0.08597     4.51220     9.19634     0.00000     4.59817     9.19634     0.00600     4.59217     7.99684     0.00000     3.99842     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     9.19634     4.59817     0.00000     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     7.99684     0.00000     3.99842
 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)    Power(11)   SoldDA(11)   SoldRT(11)    Power(12)   SoldDA(12)   SoldRT(12)    Power(13)   SoldDA(13)   SoldRT(13)    Power(14)   SoldDA(14)   SoldRT(14)    Power(15)   SoldDA(15)   SoldRT(15)
   390      6     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   390      7     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     5.91684     0.00000     2.95842     5.91684     0.00000     2.95842     5.91684     0.00000     2.95842     5.91684     0.00000     2.95842     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   390      8     7.49321     0.00000     3.74660     7.49321     0.00000     3.74660     7.49321     3.74660    -0.00000     7.49321     0.00000     3.74660     7.49321     0.00000     3.74660     7.49321     0.86637     2.88023     5.65392     0.09299     2.73397     5.65392     0.00000     2.82696     5.65392     0.00000     2.82696     5.65392     1.63362     1.19335     7.49321     0.00000     3.74660     7.49321     0.00000     3.74660     7.49321     3.74660     0.00000     7.49321     0.00000     3.74660     7.49321     0.00000     3.74660
   390      9     7.34500     2.84393     0.82857     7.34500     0.02683     3.64567     7.34500     3.67250     0.00000     7.34500     3.67250     0.00000     7.34500     0.00619     3.66631     7.34500     0.20208     3.47042     5.98319     1.36831     1.62329     5.98319     1.14025     1.85134     5.98319     2.99159     0.00000     5.98319     1.17537     1.81623     7.34500     3.27320     0.39930     7.34500     3.40925     0.26325     7.34500     3.67250     0.00000     7.34500     3.45481     0.21769     7.34500     3.58897     0.08353
   390     10    11.98622     5.75181     0.24130    11.98622     4.73964     1.25347    11.98622     5.99311     0.00000    11.98622     5.99311     0.00000    11.98622     4.73213     1.26098    11.98622     4.79950     1.19361    10.44325     5.22163     0.00000    10.44325     5.13969     0.08194    10.44325     5.22163     0.00000    10.44325     5.13425     0.08738    11.98622     5.90605     0.08706    11.98622     5.69484     0.29827    11.98622     5.99311     0.00000    11.98622     5.74646     0.24665    11.98622     5.89847     0.09464
   390     11    10.83539     3.69327     1.72443    10.83539     4.07621     1.34149    10.83539     5.41770     0.00000    10.83539     1.00555     4.41215    10.83539     4.02142     1.39628    10.83539     4.55795     0.85975     9.47496     2.58380     2.15368     9.47495     0.00000     4.73748     9.47495     0.00000     4.73748     9.47495     4.73748     0.00000    10.83539     2.89633     2.52137    10.83539     0.00000     5.41770    10.83539     5.41770     0.00000    10.83539     0.00000     5.41770    10.83539     0.00000     5.41770
   390     12     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     7.99684     0.00000     3.99842     7.99684     0.00000     3.99842     7.99684     0.00000     3.99842     7.99684     0.00000     3.99842     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817
