--------------------------------------------------------------------------------------------------------------------
Scenarios: 10
Turbines: 1
Cycles: 17
Time Limit: 600
-------------------------------------
Status: Unfinished
Profit = 14863.4
Gap: 36.5589 %
-------------------------------------
 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)
     3      8  1.81941  0.19887  0.71084  1.86308  0.79602  0.13552  1.86308  0.00000  0.93154  1.86308  0.93154  0.00000  1.86308  0.48795  0.44359  1.86308  0.04436  0.88718  1.86308  0.88718  0.04436  1.86308  0.00000  0.93154  1.86308  0.93154  0.00000  1.86308  0.09420  0.83734
     3      9  2.24510  0.23965  0.88291  2.24510  0.95924  0.16331  2.24510  0.00000  1.12255  2.24510  1.12255  0.00000  2.24510  0.58800  0.53455  2.24510  0.05345  1.06910  2.24510  1.06910  0.05345  2.24510  0.00000  1.12255  2.24510  1.12255  0.00000  2.24510  0.11352  1.00903
     3     10  2.57456  0.36432  0.92296  2.57456  0.00000  1.28728  2.57456  0.00000  1.28728  2.57456  1.28728  0.00000  2.57456  0.00000  1.28728  2.57456  0.61530  0.67198  2.57456  0.00000  1.28728  2.57456  0.00000  1.28728  2.57456  0.00000  1.28728  2.57456  0.00000  1.28728
     3     11  1.81941  0.90971  0.00000  2.82792  1.41396  0.00000  2.82792  0.03439  1.37957  1.81941  0.90971  0.00000  1.81941  0.83213  0.07758  1.81941  0.90971  0.00000  1.81941  0.29534  0.61437  2.82792  0.03439  1.37957  2.82792  1.40563  0.00833  1.81941  0.89678  0.01293
     3     12  1.81941  0.33456  0.57514  1.81941  0.00000  0.90971  1.81941  0.00000  0.90971  1.81941  0.71565  0.19405  1.81941  0.00000  0.90971  1.81941  0.90971  0.00000  1.81941  0.00000  0.90971  1.81941  0.00000  0.90971  1.81941  0.00000  0.90971  1.81941  0.00000  0.90971
     4      5  0.00000  0.00000  0.00000  0.40678  0.20339  0.00000  0.00000  0.00000  0.00000  0.40678  0.00041  0.20298  0.40678  0.20339  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.40678  0.20339  0.00000  0.40678  0.15853  0.04486
     4      6  0.61971  0.00000  0.30985  0.61971  0.26242  0.04743  0.61971  0.25280  0.05705  0.61971  0.00052  0.30934  0.61971  0.30985  0.00000  0.61971  0.00000  0.30985  0.61971  0.00000  0.30985  0.61971  0.00105  0.30881  0.61971  0.30985  0.00000  0.61971  0.17063  0.13923
     4      7  0.85118  0.42559  0.00000  0.85118  0.36044  0.06515  0.85118  0.42559  0.00000  0.85118  0.00071  0.42488  0.85118  0.42559  0.00000  0.85118  0.42559  0.00000  0.85118  0.42559  0.00000  0.85118  0.42559  0.00000  0.85118  0.42559  0.00000  0.85118  0.42559 -0.00000
     4      8  1.76150  0.88075  0.00000  1.76150  0.88075 -0.00000  1.76150  0.81681  0.06394  1.76150  0.00160  0.87915  1.76150  0.88075 -0.00000  1.76150  0.88075  0.00000  1.76150  0.88075  0.00000  1.76150  0.88075  0.00000  1.76150  0.88075 -0.00000  1.76150  0.88075  0.00000
     4      9  2.13433  1.06717  0.00000  2.13433  0.12679  0.94037  2.13433  0.00000  1.06717  2.13433  0.00000  1.06717  2.13433  0.00000  1.06717  2.13433  1.06717  0.00000  2.13433  1.06717  0.00000  2.13433  1.06717  0.00000  2.13433  0.00000  1.06717  2.13433  0.03170  1.03547
     4     10  2.45274  1.22637  0.00000  2.45274  0.00000  1.22637  2.45274  0.00000  1.22637  2.45274  0.00000  1.22637  2.45274  0.00000  1.22637  2.45274  1.22637  0.00000  2.45274  1.22637  0.00000  2.45274  0.00000  1.22637  2.45274  0.00000  1.22637  2.45274  0.00000  1.22637
     4     11  2.69957  1.34979  0.00000  2.69957  1.34015  0.00964  2.69957  1.34979  0.00000  2.69957  0.86772  0.48207  2.69957  0.01216  1.33763  2.69957  1.34979  0.00000  2.69957  1.34979  0.00000  2.69957  1.34979  0.00000  2.69957  0.01216  1.33763  2.69957  0.07296  1.27683
     4     12  2.85688  0.00000  1.42844  2.85688  1.42844  0.00000  2.85688  0.00000  1.42844  2.85688  0.00000  1.42844  1.81941  0.05061  0.85909  2.85688  0.00000  1.42844  2.85688  0.00000  1.42844  2.85688  1.42844  0.00000  1.81941  0.05061  0.85909  2.85688  0.00000  1.42844
     5      6  0.58976  0.00000  0.29488  0.58976  0.00000  0.29488  0.58976  0.00000  0.29488  0.58976  0.00000  0.29488  0.58976  0.29488  0.00000  0.58976  0.00000  0.29488  0.58976  0.00000  0.29488  0.58976  0.00000  0.29488  0.58976  0.21112  0.08376  0.58976  0.00637  0.28851
     5      7  0.81164  0.00000  0.40582  0.81164  0.00000  0.40582  0.81164  0.00000  0.40582  0.81164  0.00000  0.40582  0.81164  0.40582  0.00000  0.81164  0.00000  0.40582  0.81164  0.00000  0.40582  0.81164  0.00000  0.40582  0.81164  0.29055  0.11528  0.81164  0.00876  0.39706
     5      8  1.66791  0.83396  0.00000  1.66791  0.41283  0.42112  1.66791  0.07995  0.75401  1.66791  0.00000  0.83396  1.66791  0.83396  0.00000  1.66791  0.00000  0.83396  1.66791  0.00000  0.83396  1.66791  0.78048  0.05348  1.66791  0.83396  0.00000  1.66791  0.81390  0.02005
     5      9  2.03603  1.01801  0.00000  2.03603  0.50395  0.51407  2.03603  0.09759  0.92042  2.03603  0.00000  1.01801  2.03603  1.01801  0.00000  2.03603  0.00000  1.01801  2.03603  0.00000  1.01801  2.03603  0.95274  0.06528  2.03603  1.01801  0.00000  2.03603  0.99353  0.02448
     5     10  2.34425  1.17213  0.00000  2.34425  0.71715  0.45497  2.34425  0.00000  1.17213  2.34425  0.00000  1.17213  2.34425  1.17213  0.00000  2.34425  0.00000  1.17213  2.34425  0.71479  0.45734  2.34425  1.17213  0.00000  2.34425  1.13163  0.04050  2.34425  0.11321  1.05892
     5     11  2.58534  0.21057  1.08210  2.58534  0.00000  1.29267  2.58534  0.00000  1.29267  2.58534  0.00000  1.29267  2.58534  1.29267  0.00000  2.58534  0.00000  1.29267  2.58534  0.00000  1.29267  2.58534  0.20921  1.08346  2.58534  0.00000  1.29267  2.58534  0.00000  1.29267
     5     12  2.74207  0.01753  1.35350  2.74207  0.93788  0.43315  2.74207  1.29546  0.07557  2.74207  0.00000  1.37104  2.74207  0.33041  1.04062  2.74207  0.85461  0.51643  2.74207  1.37104  0.00000  2.74207  0.70627  0.66477  2.74207  0.78700  0.58404  2.74207  1.37104  0.00000
     6      6  0.55311  0.00000  0.27656  0.55311  0.16339  0.11317  0.55311  0.07176  0.20479  0.55311  0.27656  0.00000  0.55311  0.00000  0.27656  0.55311  0.13100  0.14556  0.55311  0.00000  0.27656  0.55311  0.27656  0.00000  0.55311  0.00000  0.27656  0.55311  0.11746  0.15910
     6      7  0.76098  0.38049  0.00000  0.76098  0.38049  0.00000  0.76098  0.19470  0.18579  0.76098  0.38049  0.00000  0.76098  0.20840  0.17209  0.76098  0.38049  0.00000  0.76098  0.36975  0.01074  0.76098  0.06135  0.31914  0.76098  0.00892  0.37157  0.76098  0.00049  0.38000
     6      8  1.54227  0.77113  0.00000  1.54227  0.77113  0.00000  1.54227  0.77113  0.00000  1.54227  0.77113  0.00000  1.54227  0.77113  0.00000  1.54227  0.77113  0.00000  1.54227  0.77113  0.00000  1.54227  0.77113  0.00000  1.54227  0.77113  0.00000  1.54227  0.77113  0.00000
     6      9  1.89738  0.94869  0.00000  1.89738  0.94869  0.00000  1.89738  0.00000  0.94869  1.89738  0.94869  0.00000  1.89738  0.94869  0.00000  1.89738  0.94869 -0.00000  1.89738  0.45904  0.48965  1.89738  0.94869 -0.00000  1.89738  0.94869 -0.00000  1.89738  0.15301  0.79567
     6     10  2.18267  1.09133  0.00000  2.18267  1.09133  0.00000  2.18267  0.00000  1.09133  2.18267  1.09133  0.00000  2.18267  1.09133  0.00000  2.18267  1.09133 -0.00000  2.18267  0.52806  0.56327  2.18267  1.09133  0.00000  2.18267  1.09133 -0.00000  2.18267  0.17602  0.91531
