 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)    Power(11)   SoldDA(11)   SoldRT(11)    Power(12)   SoldDA(12)   SoldRT(12)    Power(13)   SoldDA(13)   SoldRT(13)    Power(14)   SoldDA(14)   SoldRT(14)    Power(15)   SoldDA(15)   SoldRT(15)
   656      6     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.47097     0.00000     0.23548     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   656      7     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.19060     0.00000     0.59530     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   656      8     0.00000     0.00000     0.00000     0.81567     0.00000     0.40784     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     2.47637     0.00000     1.23818     0.81567     0.00000     0.40784     0.00000     0.00000     0.00000     0.81567     0.00000     0.40784     0.81567     0.00000     0.40784     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     2.47637     0.00000     1.23818     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   656      9     5.26306     2.46880     0.16273     4.63579     0.08509     2.23280     5.26306     2.28535     0.34618     5.26306     2.02445     0.60708     4.32608     2.16304     0.00000     4.56927     0.69966     1.58497     4.63579     2.31790     0.00000     5.26306     0.18216     2.44937     4.63579     0.76628     1.55161     5.01442     0.43056     2.07665     5.26306     2.63153     0.00000     5.26306     1.76121     0.87032     4.56927     0.40098     1.88366     5.26306     1.27236     1.35917     5.26306     2.47471     0.15682
   656     10     4.91853     2.28585     0.17342     4.25009     0.08310     2.04194     4.91853     2.09036     0.36890     4.91853     1.90435     0.55492     4.22474     2.11237     0.00000     4.22474     0.65815     1.45422     4.25009     2.12505     0.00000     4.91853     0.17135     2.28791     4.25009     0.74833     1.37671     4.66990     0.40501     1.92993     4.91853     2.45927     0.00000     4.91853     1.71995     0.73932     4.22474     0.39158     1.72079     4.91853     1.19687     1.26240     4.91853     2.29216     0.16711
   656     11     4.42201     0.00000     2.21100     4.41933     0.00000     2.20966     4.42201     0.10329     2.10771     4.42201     0.00000     2.21100     3.72821     0.00000     1.86411     3.72821     0.00000     1.86411     4.41933     2.20966     0.00000     4.42201     0.00000     2.21100     4.41933     0.00000     2.20966     4.17337     0.00000     2.08669     4.42201     1.34551     0.86549     4.42201     0.00000     2.21100     3.72821     0.00000     1.86411     4.42201     1.34551     0.86549     4.42201     1.91261     0.29839
   656     12     3.73090     1.85724     0.00821     3.72821     1.59889     0.26521     3.73090     1.86545     0.00000     3.73090     1.54935     0.31610     2.93413     0.00263     1.46444     2.93413     1.08821     0.37886     3.72821     1.86411     0.00000     3.73090     1.36683     0.49862     3.72821     1.18020     0.68390     3.44561     1.42283     0.29998     3.73090     1.86466     0.00079     3.73090     0.13931     1.72614     2.93413     1.46707     0.00000     3.73090     1.86466     0.00079     3.73090     1.86430     0.00115
 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)    Power(11)   SoldDA(11)   SoldRT(11)    Power(12)   SoldDA(12)   SoldRT(12)    Power(13)   SoldDA(13)   SoldRT(13)    Power(14)   SoldDA(14)   SoldRT(14)    Power(15)   SoldDA(15)   SoldRT(15)
   656      7     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.64168     0.00000     0.32084     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.64168     0.00000     0.32084     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   656      8     2.47637     0.00000     1.23818     0.81567     0.00000     0.40784     1.61384     0.00000     0.80692     0.82397     0.00000     0.41198     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.12875     0.00000     0.56438     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     2.47637     0.00000     1.23818     0.81567     0.00000     0.40784     0.00000     0.00000     0.00000
   656      9     4.56927     2.13583     0.14880     3.81943     1.64013     0.26959     4.56927     0.00000     2.28463     5.01249     2.50625     0.00000     5.26306     0.00000     2.63153     5.26306     0.00000     2.63153     3.39261     1.69631     0.00000     4.63579     0.00000     2.31790     5.26306     0.00000     2.63153     5.26306     2.13583     0.49570     5.26306     0.53693     2.09460     5.26306     2.63153     0.00000     4.56927     0.82307     1.46156     4.63579     1.56928     0.74862     5.26306     0.73330     1.89823
   656     10     4.22474     1.34069     0.77168     4.91585     2.45793     0.00000     4.22474     0.00000     2.11237     4.66797     0.00000     2.33398     4.91853     0.00000     2.45927     4.91853     0.00000     2.45927     4.91585     2.33130     0.12662     4.25009     0.00000     2.12505     4.91853     0.00000     2.45927     4.91853     1.34069     1.11858     4.91853     0.00000     2.45927     4.91853     0.22345     2.23582     4.22474     0.00000     2.11237     4.25009     0.00000     2.12505     4.91853     0.00000     2.45927
   656     11     3.72821     0.00000     1.86411     4.41933     0.00000     2.20966     3.72821     0.00000     1.86411     4.17144     0.00000     2.08572     4.42201     0.00000     2.21100     4.42201     0.00000     2.21100     4.41933     0.00000     2.20966     4.41933     0.00000     2.20966     4.42201     0.00000     2.21100     4.42201     0.00000     2.21100     4.42201     0.00000     2.21100     4.42201     0.00000     2.21100     3.72821     0.00000     1.86411     4.41933     0.00000     2.20966     4.42201     0.00000     2.21100
   656     12     2.93413     1.18924     0.27782     3.72821     0.00344     1.86067     2.93413     0.72024     0.74682     3.44340     1.72170     0.00000     3.73090     0.42306     1.44239     3.73090     0.42306     1.44239     3.72821     1.71168     0.15242     3.72821     1.86411     0.00000     3.73090     0.78512     1.08033     3.73090     1.18924     0.67621     3.73090     0.54290     1.32255     3.73090     1.37828     0.48717     2.93413     1.13714     0.32992     3.72821     0.46539     1.39872     3.73090     0.33054     1.53491
 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)    Power(11)   SoldDA(11)   SoldRT(11)    Power(12)   SoldDA(12)   SoldRT(12)    Power(13)   SoldDA(13)   SoldRT(13)    Power(14)   SoldDA(14)   SoldRT(14)    Power(15)   SoldDA(15)   SoldRT(15)
   656      7     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.64168     0.00000     0.32084     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   656      8     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     2.47637     0.00000     1.23818     0.00000     0.00000     0.00000     2.18633     0.00000     1.09317     1.61384     0.00000     0.80692     3.30111     0.00000     1.65056     0.00000     0.00000     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.81567     0.00000     0.40784     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   656      9     5.26306     2.63153     0.00000     5.26306     2.63153     0.00000     4.56927     2.18873     0.09590     5.26306     1.10580     1.52573     4.69566     0.16195     2.18588     4.56927     0.68317     1.60146     4.37746     2.18873     0.00000     5.26306     2.63153     0.00000     5.26306     2.18873     0.44280     5.26306     2.63153     0.00000     5.26306     2.63153     0.00000     4.63579     0.38384     1.93406     5.26306     2.63153     0.00000     5.26306     0.71419     1.91734     5.26306     0.67696     1.95457
   656     10     4.91853     0.00191     2.45736     4.91853     0.00000     2.45927     4.22474     2.01647     0.09590     4.91853     1.01876     1.44050     4.35113     0.00000     2.17557     4.22474     0.00000     2.11237     4.03293     2.01647     0.00000     4.91853     2.31922     0.14004     4.91853     2.01647     0.44280     4.91853     2.01812     0.44114     4.91853     1.82755     0.63171     4.25009     0.35363     1.77142     4.91853     2.01812     0.44114     4.91853     0.00000     2.45927     4.91853     0.00000     2.45927
   656     11     4.42201     0.00000     2.21100     4.42201     0.00000     2.21100     3.72821     0.00000     1.86411     4.42201     0.00000     2.21100     3.85461     0.00000     1.92730     1.41056     0.00000     0.70528     3.50783     0.00000     1.75392     4.42201     0.00000     2.21100     4.42201     0.00000     2.21100     4.42201     0.00000     2.21100     4.42201     0.00000     2.21100     4.41933     0.00000     2.20966     4.42201     0.00000     2.21100     4.42201     0.00000     2.21100     4.42201     0.00000     2.21100
   656     12     3.73090     0.00000     1.86545     3.73090     0.39683     1.46862     2.93413     1.46707     0.00000     3.73090     0.00000     1.86545     3.07936     0.18078     1.35890     3.72821     1.86411     0.00000     2.76039     0.00000     1.38020     3.73090     0.53349     1.33196     3.73090     0.00000     1.86545     3.73090     0.42413     1.44132     3.73090     0.00000     1.86545     3.72821     0.77177     1.09233     3.73090     0.42413     1.44132     3.73090     0.91469     0.95076     3.73090     0.53349     1.33196
