 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)    Power(11)   SoldDA(11)   SoldRT(11)    Power(12)   SoldDA(12)   SoldRT(12)    Power(13)   SoldDA(13)   SoldRT(13)    Power(14)   SoldDA(14)   SoldRT(14)    Power(15)   SoldDA(15)   SoldRT(15)
   406      7     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.65347     0.00000     0.32674     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   406      8     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     2.21363     0.00000     1.10682     1.65172     0.00000     0.82586     2.21363     0.00000     1.10682     0.00000     0.00000     0.00000     3.52611     0.00000     1.76305     2.46708     0.00000     1.23354    -0.00000     0.00000    -0.00000     2.21363     0.00000     1.10682     2.21363     0.00000     1.10682     0.00000     0.00000     0.00000     1.65172     0.00000     0.82586     0.82586     0.00000     0.41293
   406      9     5.30079     0.07300     2.57739     5.30079     0.00000     2.65039     5.30079     0.00000     2.65039     4.73339     0.00000     2.36669     4.80352     0.00000     2.40176     4.73339     0.00000     2.36669     5.30079     0.00000     2.65039     4.09533     1.94153     0.10614     4.61623     0.00000     2.30812     5.30079     0.33373     2.31667     4.73339     0.00000     2.36669     3.89006     0.00000     1.94503     5.30079     1.28972     1.36068     4.06442     0.00000     2.03221     4.68261     2.34130     0.00000
   406     10     4.93367     0.06457     2.40226     4.83171     0.00000     2.41585     4.83171     0.00000     2.41585     4.36627     0.00000     2.18313     4.43640     0.00000     2.21820     4.36627     0.00000     2.18313     4.93367     0.00000     2.46684     3.72821     1.71732     0.14678     4.24911     0.00000     2.12456     4.83171     0.29519     2.12066     4.36627     0.00000     2.18313     3.25746     0.00000     1.62873     4.93367     1.14078     1.32605     3.45203     0.00000     1.72601     4.14187     2.07093     0.00000
   406     11     4.41277     0.00000     2.20639     4.44058     1.44090     0.77939     4.44058     1.81426     0.40603     3.84537     1.79726     0.12543     3.91550     0.00000     1.95775     3.84537     0.00000     1.92269     4.41277     0.17043     2.03596     3.12971     1.56485     0.00000     3.72821     1.79726     0.06685     4.44058     1.00708     1.21321     3.84537     0.00000     1.92269     4.44058     1.79726     0.42304     4.41277     1.86527     0.34112     4.44058     0.00000     2.22029     4.44058     2.22029     0.00000
   406     12     3.69626     0.00000     1.84813     3.72821     1.12238     0.74172     3.72821     1.41862     0.44549     3.04432     1.39996     0.12220     3.12489     0.00000     1.56245     3.04432     0.00000     1.52216     3.69626     0.13276     1.71537     2.43787     1.21893     0.00000     2.90971     1.39996     0.05489     3.72821     0.78446     1.07964     3.04432     0.00000     1.52216     3.72821     1.39996     0.46414     3.69626     1.47458     0.37354     3.72821     0.00000     1.86411     3.72821     1.86411     0.00000
 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)    Power(11)   SoldDA(11)   SoldRT(11)    Power(12)   SoldDA(12)   SoldRT(12)    Power(13)   SoldDA(13)   SoldRT(13)    Power(14)   SoldDA(14)   SoldRT(14)    Power(15)   SoldDA(15)   SoldRT(15)
   406      7     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.65347     0.00000     0.32674     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   406      8     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     2.46708     0.00000     1.23354     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     4.42726     0.00000     2.21363     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     3.52611     0.00000     1.76305     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   406      9     5.30079     0.00000     2.65039     5.30079     0.00000     2.65039     5.30079     0.06310     2.58729     4.61623     0.00000     2.30812     5.30079     0.56093     2.08946     5.30079     0.00000     2.65039     4.16598     0.00000     2.08299     5.30079     0.00000     2.65039     5.30079     1.52853     1.12186     5.30079     0.00000     2.65039     5.30079     2.65039     0.00000     4.09533     0.11920     1.92847     5.30079     0.00000     2.65039     5.30079     0.00000     2.65039     5.30079     0.00000     2.65039
