 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)    Power(11)   SoldDA(11)   SoldRT(11)    Power(12)   SoldDA(12)   SoldRT(12)    Power(13)   SoldDA(13)   SoldRT(13)    Power(14)   SoldDA(14)   SoldRT(14)    Power(15)   SoldDA(15)   SoldRT(15)
   406     10     4.83171     0.12941     2.28644     4.83171     0.54156     1.87429     4.83171     0.87587     1.53999     4.24911     0.00000     2.12456     4.83171     1.17218     1.24367     4.93367     0.00000     2.46684     3.79887     0.00000     1.89943     4.83171     0.05111     2.36475     4.93367     1.74811     0.71873     4.93367     0.09644     2.37039     4.83171     2.41585     0.00000     1.81851     0.90925     0.00000     4.83171     0.00000     2.41585     4.83171     0.00000     2.41585     4.83171     0.79297     1.62288
   406     11     4.44058     2.03734     0.18295     4.44058     2.01373     0.20656     4.44058     1.67088     0.54942     3.72821     1.60544     0.25866     4.44058     1.90957     0.31072     4.41277     1.88611     0.32027     3.21089     1.60544     0.00000     4.44058     2.03734     0.18295     4.41277     0.85817     1.34821     4.41277     2.03734     0.16904     4.44058     0.00000     2.22029     3.72821     1.86411     0.00000     4.44058     0.00281     2.21749     4.44058     1.33600     0.88429     4.44058     1.95148     0.26882
   406     12     3.72821     1.57436     0.28975     3.72821     1.53793     0.32617     3.72821     1.49728     0.36683     2.90971     1.25093     0.20392     3.72821     1.44487     0.41924     3.69626     1.46963     0.37850     2.50187     1.25093     0.00000     3.72821     1.57436     0.28975     3.69626     1.67570     0.17243     3.69626     1.57436     0.27377     3.72821     1.86411     0.00000     2.90971     1.45485     0.00000     3.72821     0.00219     1.86192     3.72821     1.04099     0.82312     3.72821     1.44191     0.42219
 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)    Power(11)   SoldDA(11)   SoldRT(11)    Power(12)   SoldDA(12)   SoldRT(12)    Power(13)   SoldDA(13)   SoldRT(13)    Power(14)   SoldDA(14)   SoldRT(14)    Power(15)   SoldDA(15)   SoldRT(15)
   406      6     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   406      8     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     2.46708     0.00000     1.23354     2.46708     0.00000     1.23354     0.00000     0.00000     0.00000     3.03949     0.00000     1.51975     4.42726     0.00000     2.21363     2.46708     0.00000     1.23354     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     2.46708     0.00000     1.23354     4.42726     0.00000     2.21363
   406      9     5.30079     0.00000     2.65039     5.30079     0.00000     2.65039     5.30079     0.00000     2.65039     4.61623     0.00000     2.30812     4.61623     0.00000     2.30812     5.30079     0.00000     2.65039     4.00272     0.00000     2.00136     4.16598     0.00000     2.08299     4.61623     0.00000     2.30812     5.30079     0.00000     2.65039     5.30079     0.00000     2.65039     5.30079     0.00000     2.65039     5.30079     0.00000     2.65039     4.61623     0.00000     2.30812     4.16598     0.00000     2.08299
   406     10     4.83171     0.56158     1.85427     4.83171     0.00000     2.41585     4.83171     0.00000     2.41585     4.24911     0.00000     2.12456     4.24911     0.00000     2.12456     4.83171     0.06827     2.34758     4.24911     0.00000     2.12456     3.79887     0.00000     1.89943     4.24911     0.00000     2.12456     4.83171     0.00000     2.41585     4.83171     0.00000     2.41585     4.83171     0.06038     2.35547     4.83171     1.26800     1.14785     4.24911     0.00000     2.12456     3.79887     1.89943     0.00000
   406     11     4.44058     0.65800     1.56229     4.44058     0.00000     2.22029     4.44058     0.00000     2.22029     3.72821     0.00000     1.86411     3.72821     0.00000     1.86411     4.44058     0.00000     2.22029     3.72821     0.00000     1.86411     3.21089     0.00000     1.60544     3.72821     0.00426     1.85984     4.44058     0.00000     2.22029     4.44058     0.00000     2.22029     4.44058     0.43377     1.78652     4.44058     0.21270     2.00759     3.72821     0.00000     1.86411     3.21089     1.60544     0.00000
   406     12     3.72821     1.37160     0.49251     3.72821     1.45191     0.41220     3.72821     1.35263     0.51148     2.90971     1.32642     0.12844     2.90971     1.45485     0.00000     3.72821     1.26180     0.60231     2.90971     1.26180     0.19306     2.50187     1.24261     0.00833     2.90971     1.45485     0.00000     3.72821     1.34383     0.52027     3.72821     1.86411     0.00000     3.72821     1.40015     0.46395     3.72821     1.42831     0.43580     2.90971     1.37375     0.08110     2.50187     1.25093     0.00000
